Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,259.23981738090515,30000052,6805947,4.4079,1619852,96786,0.2380,0.0142,5.9750%,3.2262,3031120,31.3178,101.0372,15000052,3429196,4.3742,807780,49719,0.2356,0.0145,6.1550%,3.3146,1553859,31.2528,103.5902
fp,fp_10_trace,270.7881956100464,Pass,556.9421548843384,40000016,6790190,5.8909,3492402,77597,0.5143,0.0114,2.2219%,1.9399,1714887,22.0999,42.8722,20000016,3334819,5.9973,1748758,37021,0.5244,0.0111,2.1170%,1.8510,821982,22.2031,41.0991
fp,fp_11_trace,297.7953281402588,Pass,565.9871037006378,40000016,7535845,5.3080,3526510,23163,0.4680,0.0031,0.6568%,0.5791,510112,22.0227,12.7528,20000016,3638774,5.4964,1776440,11288,0.4882,0.0031,0.6354%,0.5644,240064,21.2672,12.0032
fp,fp_12_trace,48.495734214782715,Pass,449.34353613853455,40000016,7792493,5.1331,4420257,32826,0.5672,0.0042,0.7426%,0.8206,2548153,77.6261,63.7038,20000016,3790399,5.2765,2222665,14274,0.5864,0.0038,0.6422%,0.7137,1130063,79.1693,56.5031
fp,fp_13_trace,84.63656806945801,Pass,405.9673354625702,40000016,15138081,2.6423,6454282,497912,0.4264,0.0329,7.7144%,12.4478,10622538,21.3342,265.5633,20000016,7416643,2.6966,3233671,248549,0.4360,0.0335,7.6863%,12.4274,5215888,20.9854,260.7942
fp,fp_1_trace,42.69381523132324,Pass,265.6892809867859,30000052,30454265,0.9851,5950800,467395,0.1954,0.0153,7.8543%,15.5798,26752206,57.2368,891.7387,15000052,15229637,0.9849,2965791,234364,0.1947,0.0154,7.9022%,15.6242,13387041,57.1207,892.4663
fp,fp_2_trace,113.98153591156006,Pass,363.8245437145233,30000052,6204632,4.8351,2471756,76360,0.3984,0.0123,3.0893%,2.5453,2686054,35.1762,89.5350,15000052,3060434,4.9013,1232306,38926,0.4027,0.0127,3.1588%,2.5951,1348576,34.6446,89.9048
fp,fp_3_trace,223.02585411071777,Pass,416.9636318683624,30000052,12688273,2.3644,1539997,58365,0.1214,0.0046,3.7899%,1.9455,6525178,111.7995,217.5056,15000052,6327961,2.3704,770204,29631,0.1217,0.0047,3.8472%,1.9754,3284241,110.8380,218.9486
fp,fp_4_trace,106.30326175689697,Pass,363.3365533351898,30000052,6553801,4.5775,2573337,17248,0.3926,0.0026,0.6703%,0.5749,1022319,59.2717,34.0772,15000052,2607765,5.7521,1285217,6480,0.4928,0.0025,0.5042%,0.4320,280970,43.3596,18.7313
fp,fp_5_trace,332.9483413696289,Pass,586.7566547393799,40000016,7567814,5.2855,740391,37315,0.0978,0.0049,5.0399%,0.9329,1283099,34.3856,32.0775,20000016,3750417,5.3327,370890,18597,0.0989,0.0050,5.0142%,0.9298,642561,34.5519,32.1280
fp,fp_6_trace,63.58891201019287,Pass,410.66323471069336,40000016,5745745,6.9617,7034423,36946,1.2243,0.0064,0.5252%,0.9236,1400332,37.9021,35.0083,20000016,2793372,7.1598,3515104,17317,1.2584,0.0062,0.4926%,0.8658,659697,38.0953,32.9848
fp,fp_7_trace,159.0718936920166,Pass,515.6506745815277,40000016,7755882,5.1574,4716883,41156,0.6082,0.0053,0.8725%,1.0289,1798028,43.6881,44.9507,20000016,3658315,5.4670,2394520,17480,0.6545,0.0048,0.7300%,0.8740,764434,43.7319,38.2217
fp,fp_8_trace,211.10272789001465,Pass,513.6090445518494,40000016,12839555,3.1154,2322129,296456,0.1809,0.0231,12.7666%,7.4114,6779409,22.8682,169.4852,20000016,7132535,2.8041,1347173,209016,0.1889,0.0293,15.5152%,10.4508,4731722,22.6381,236.5859
fp,fp_9_trace,143.53112411499023,Pass,520.9737334251404,40000016,16404367,2.4384,5012816,171770,0.3056,0.0105,3.4266%,4.2942,11582611,67.4309,289.5652,20000016,7820352,2.5574,2500178,91188,0.3197,0.0117,3.6473%,4.5594,5489630,60.2012,274.4813
