Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,414.2041335105896,40000016,8828186,4.5309,5140781,50198,0.5823,0.0057,0.9765%,1.2549,1454963,28.9845,36.3741,20000016,4388568,4.5573,2582400,25814,0.5884,0.0059,0.9996%,1.2907,769323,29.8025,38.4661
infra,infra_10_trace,117.67702960968018,Pass,468.44905042648315,50000052,18319028,2.7294,6548159,261829,0.3575,0.0143,3.9985%,5.2366,13032449,49.7747,260.6487,25000052,6288776,3.9753,3150015,115727,0.5009,0.0184,3.6739%,4.6291,4033894,34.8570,161.3554
infra,infra_11_trace,209.36411476135254,Pass,492.5984125137329,50000052,18236445,2.7418,7754708,49825,0.4252,0.0027,0.6425%,0.9965,3778484,75.8351,75.5696,25000052,9191848,2.7198,3881908,24181,0.4223,0.0026,0.6229%,0.9672,2170769,89.7717,86.8306
infra,infra_12_trace,207.57365608215332,Pass,498.98630952835083,50000052,17436675,2.8675,7862103,48861,0.4509,0.0028,0.6215%,0.9772,3324112,68.0320,66.4822,25000052,8309424,3.0086,3927069,23098,0.4726,0.0028,0.5882%,0.9239,1636180,70.8364,65.4471
infra,infra_13_trace,139.63556957244873,Pass,463.1002652645111,50000052,20369983,2.4546,6532412,203940,0.3207,0.0100,3.1220%,4.0788,13568329,66.5310,271.3663,25000052,9604343,2.6030,3378036,82514,0.3517,0.0086,2.4427%,3.3006,5096643,61.7670,203.8653
infra,infra_14_trace,118.4549331665039,Pass,464.76722860336304,50000052,17833382,2.8037,6536492,264405,0.3665,0.0148,4.0451%,5.2881,12726142,48.1312,254.5226,25000052,6251409,3.9991,3156210,114861,0.5049,0.0184,3.6392%,4.5944,4002201,34.8439,160.0877
infra,infra_15_trace,101.22027969360352,Pass,458.90279841423035,50000052,34325841,1.4566,6957507,417840,0.2027,0.0122,6.0056%,8.3568,29801631,71.3231,596.0320,25000052,6319324,3.9561,3466846,142169,0.5486,0.0225,4.1008%,5.6867,4038755,28.4081,161.5499
infra,infra_1_trace,175.13615703582764,Pass,384.2035162448883,37799521,8180169,4.6209,4337669,12849,0.5303,0.0016,0.2962%,0.3399,577497,44.9449,15.2779,19799521,3726964,5.3125,2263258,3708,0.6073,0.0010,0.1638%,0.1873,123586,33.3296,6.2419
infra,infra_2_trace,221.61112022399902,Pass,782.3495061397552,47546686,10575547,4.4959,5818731,19662,0.5502,0.0019,0.3379%,0.4135,654858,33.3058,13.7729,24546686,4291378,5.7200,2997214,5866,0.6984,0.0014,0.1957%,0.2390,115968,19.7695,4.7244
infra,infra_3_trace,83.57435989379883,Pass,404.1575322151184,40000016,8042374,4.9737,5433078,41107,0.6756,0.0051,0.7566%,1.0277,1055943,25.6877,26.3986,20000016,3985592,5.0181,2737308,18944,0.6868,0.0048,0.6921%,0.9472,492321,25.9882,24.6160
infra,infra_4_trace,84.87091732025146,Pass,448.0247390270233,40000016,23885916,1.6746,5988066,97103,0.2507,0.0041,1.6216%,2.4276,12156472,125.1915,303.9117,20000016,11942535,1.6747,2971304,48870,0.2488,0.0041,1.6447%,2.4435,6096568,124.7507,304.8282
infra,infra_5_trace,58.871103286743164,Pass,490.22389459609985,40000016,34436916,1.1615,7268207,87962,0.2111,0.0026,1.2102%,2.1990,26250094,298.4254,656.2521,20000016,22131069,0.9037,3539219,62856,0.1599,0.0028,1.7760%,3.1428,18294833,291.0595,914.7409
infra,infra_6_trace,168.09687328338623,Pass,734.6058259010315,64718349,15319103,4.2247,9187928,78179,0.5998,0.0051,0.8509%,1.2080,3065469,39.2109,47.3663,32718349,7707024,4.2453,5004718,38025,0.6494,0.0049,0.7598%,1.1622,1756754,46.2000,53.6932
infra,infra_7_trace,65.31903553009033,Pass,471.1436517238617,40000016,21719841,1.8416,6716982,57129,0.3093,0.0026,0.8505%,1.4282,7945257,139.0757,198.6313,20000016,11155836,1.7928,3345402,15893,0.2999,0.0014,0.4751%,0.7946,3331482,209.6195,166.5740
infra,infra_8_trace,54.09443473815918,Pass,493.72316002845764,40000016,24540909,1.6299,7460282,49974,0.3040,0.0020,0.6699%,1.2493,15849003,317.1450,396.2249,20000016,12244093,1.6334,3730712,24828,0.3047,0.0020,0.6655%,1.2414,7890768,317.8173,394.5381
infra,infra_9_trace,141.69822597503662,Pass,479.8895447254181,50000052,29148635,1.7153,7203244,226574,0.2471,0.0078,3.1454%,4.5315,19553956,86.3027,391.0787,25000052,17216613,1.4521,3405201,171376,0.1978,0.0100,5.0328%,6.8550,14603099,85.2109,584.1227
