Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,645.460705280304,40000041,14635013,2.7332,6223265,202807,0.4252,0.0139,3.2589%,5.0702,9939831,49.0113,248.4955,20000041,6496553,3.0786,3076555,99106,0.4736,0.0153,3.2213%,4.9553,4264055,43.0252,213.2023
int,int_10_trace,204.85591316223145,Pass,931.1831202507019,60000052,9646393,6.2199,7032592,30928,0.7290,0.0032,0.4398%,0.5155,848845,27.4458,14.1474,30000052,4457897,6.7296,3499163,14619,0.7849,0.0033,0.4178%,0.4873,337188,23.0651,11.2396
int,int_11_trace,203.19092559814453,Pass,898.2836785316467,60000052,16401050,3.6583,4130584,245516,0.2518,0.0150,5.9439%,4.0919,8967328,36.5244,149.4553,30000052,8199618,3.6587,2064453,123909,0.2518,0.0151,6.0020%,4.1303,4520182,36.4799,150.6725
int,int_12_trace,204.59925079345703,Pass,1032.2965910434723,59999603,18416157,3.2580,6357220,25880,0.3452,0.0014,0.4071%,0.4313,982569,37.9663,16.3763,30999603,4933044,6.2841,4522132,24712,0.9167,0.0050,0.5465%,0.7972,904133,36.5868,29.1660
int,int_13_trace,32.30572509765625,Pass,651.3648495674133,40000052,6029170,6.6344,4243961,28191,0.7039,0.0047,0.6643%,0.7048,855594,30.3499,21.3898,20000052,2921352,6.8462,2111572,11638,0.7228,0.0040,0.5512%,0.5819,373180,32.0656,18.6590
int,int_14_trace,177.29002475738525,Pass,709.7240316867828,39999640,6980280,5.7304,7635435,15260,1.0939,0.0022,0.1999%,0.3815,387335,25.3824,9.6835,20999640,3395147,6.1852,3974167,6611,1.1705,0.0019,0.1663%,0.3148,151476,22.9127,7.2133
int,int_15_trace,98.1560001373291,Pass,993.1789906024933,70000157,18496300,3.7845,9192864,33012,0.4970,0.0018,0.3591%,0.4716,1840651,55.7570,26.2950,35000157,9300084,3.7634,4669511,31274,0.5021,0.0034,0.6697%,0.8935,1469037,46.9731,41.9723
int,int_16_trace,128.2670030593872,Pass,737.0235006809235,40000031,17279100,2.3149,6733574,226888,0.3897,0.0131,3.3695%,5.6722,5463847,24.0817,136.5961,20000031,7208727,2.7744,3364149,115030,0.4667,0.0160,3.4193%,5.7515,2634544,22.9031,131.7270
int,int_17_trace,128.60758018493652,Pass,742.4136910438538,39999987,15440073,2.5907,6659971,190366,0.4313,0.0123,2.8584%,4.7592,4601416,24.1714,115.0354,20999987,6048587,3.4719,3432362,84852,0.5675,0.0140,2.4721%,4.0406,1958367,23.0798,93.2556
int,int_18_trace,108.31880569458008,Pass,794.0615899562836,39999864,10683844,3.7440,9457814,28697,0.8852,0.0027,0.3034%,0.7174,1339258,46.6689,33.4816,20999864,5086010,4.1289,4985263,11486,0.9802,0.0023,0.2304%,0.5470,491650,42.8043,23.4121
