Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,574.9000763893127,39999493,19626491,2.0380,11904941,52323,0.6066,0.0027,0.4395%,1.3081,6229681,119.0620,155.7440,20999493,9694887,2.1660,6370198,19120,0.6571,0.0020,0.3001%,0.9105,2169391,113.4619,103.3068
web,web_10_trace,67.32332420349121,Pass,299.3718013763428,19999796,11035037,1.8124,2621960,56338,0.2376,0.0051,2.1487%,2.8169,1811869,32.1607,90.5944,10999796,3281771,3.3518,1436395,23970,0.4377,0.0073,1.6688%,2.1791,662148,27.6240,60.1964
web,web_11_trace,43.46553611755371,Pass,183.35729146003723,10001443,11441023,0.8742,1391369,46096,0.1216,0.0040,3.3130%,4.6089,1941084,42.1096,194.0804,5001443,5018523,0.9966,674449,22871,0.1344,0.0046,3.3911%,4.5729,888403,38.8441,177.6293
web,web_12_trace,61.48514461517334,Pass,216.73511362075806,15000009,9153431,1.6387,2254326,58000,0.2463,0.0063,2.5728%,3.8667,1950723,33.6332,130.0481,8000009,4241638,1.8861,1175254,36231,0.2771,0.0085,3.0828%,4.5289,1102292,30.4240,137.7863
web,web_13_trace,134.68522262573242,Pass,443.256489276886,39999813,16843355,2.3748,4813533,117994,0.2858,0.0070,2.4513%,2.9499,3783418,32.0645,94.5859,20999813,7100734,2.9574,2687998,54802,0.3786,0.0077,2.0388%,2.6096,1911731,34.8843,91.0356
web,web_14_trace,235.48800468444824,Pass,780.2945659160614,70000043,19737747,3.5465,11059737,251862,0.5603,0.0128,2.2773%,3.5980,10610815,42.1295,151.5830,35000043,8522173,4.1069,5268168,98046,0.6182,0.0115,1.8611%,2.8013,4163676,42.4666,118.9620
web,web_15_trace,61.94837951660156,Pass,149.5590009689331,14999858,7896424,1.8996,2411251,76499,0.3054,0.0097,3.1726%,5.1000,2307654,30.1658,153.8451,7999858,3225182,2.4804,1229867,33762,0.3813,0.0105,2.7452%,4.2203,899893,26.6540,112.4886
web,web_16_trace,61.720746994018555,Pass,332.39400482177734,20000052,9914452,2.0173,1486259,31698,0.1499,0.0032,2.1327%,1.5849,1190780,37.5664,59.5388,10000052,6895220,1.4503,732871,21974,0.1063,0.0032,2.9983%,2.1974,817988,37.2253,81.7984
web,web_17_trace,54.710463523864746,Pass,240.12821888923645,15000021,6101403,2.4585,2215426,21250,0.3631,0.0035,0.9592%,1.4167,891309,41.9440,59.4205,8000021,2275133,3.5163,1069158,4873,0.4699,0.0021,0.4558%,0.6091,164990,33.8580,20.6237
web,web_18_trace,40.12125015258789,Pass,142.11517691612244,15000059,3924393,3.8223,1853795,41173,0.4724,0.0105,2.2210%,2.7449,2042664,49.6117,136.1771,8000059,1977739,4.0451,994147,20547,0.5027,0.0104,2.0668%,2.5684,1028862,50.0736,128.6068
web,web_19_trace,46.80075454711914,Pass,157.43362140655518,15000016,9436047,1.5897,2562002,76354,0.2715,0.0081,2.9802%,5.0903,2362774,30.9450,157.5181,8000016,4287065,1.8661,1380363,49814,0.3220,0.0116,3.6088%,6.2267,1193448,23.9581,149.1807
web,web_1_trace,158.93916416168213,Pass,494.2398262023926,39999048,11975496,3.3401,5515292,129173,0.4605,0.0108,2.3421%,3.2294,4433588,34.3229,110.8423,20999048,4950688,4.2416,2909408,68452,0.5877,0.0138,2.3528%,3.2598,1920752,28.0598,91.4685
web,web_20_trace,91.22524166107178,Pass,287.50703859329224,20000004,10232554,1.9545,3186911,64779,0.3114,0.0063,2.0327%,3.2389,1996108,30.8141,99.8054,10000004,3737263,2.6758,1586755,18185,0.4246,0.0049,1.1460%,1.8185,572267,31.4692,57.2267
web,web_21_trace,37.0328950881958,Pass,211.03750109672546,15000054,5901074,2.5419,2614946,22538,0.4431,0.0038,0.8619%,1.5025,2015519,89.4276,134.3674,8000054,4719030,1.6953,1411368,17948,0.2991,0.0038,1.2717%,2.2435,1835267,102.2547,229.4068
web,web_22_trace,51.9125394821167,Pass,264.4302747249603,20000051,5952365,3.3600,2417352,65078,0.4061,0.0109,2.6921%,3.2539,2950311,45.3350,147.5152,10000051,2635177,3.7948,1222376,30307,0.4639,0.0115,2.4794%,3.0307,1427870,47.1135,142.7863
web,web_23_trace,60.17267894744873,Pass,302.6294279098511,20000047,6263749,3.1930,3286069,19309,0.5246,0.0031,0.5876%,0.9654,719075,37.2404,35.9537,10000047,4551850,2.1969,1544231,14853,0.3393,0.0033,0.9618%,1.4853,539293,36.3087,53.9290
web,web_24_trace,80.5669527053833,Pass,234.19919657707214,14999923,8318596,1.8032,1985890,24991,0.2387,0.0030,1.2584%,1.6661,789425,31.5884,52.6286,7999923,3982519,2.0088,1067447,11925,0.2680,0.0030,1.1172%,1.4906,359388,30.1374,44.9239
web,web_25_trace,46.08135795593262,Pass,266.3643248081207,14999989,7258399,2.0666,2548670,87579,0.3511,0.0121,3.4363%,5.8386,3013157,34.4050,200.8773,7999989,2974665,2.6894,1342253,52138,0.4512,0.0175,3.8844%,6.5173,1734130,33.2604,216.7665
web,web_2_trace,126.7424545288086,Pass,507.09392404556274,39999746,11865669,3.3710,5842811,151645,0.4924,0.0128,2.5954%,3.7911,4248299,28.0148,106.2081,20999746,5748863,3.6529,3176039,83846,0.5525,0.0146,2.6400%,3.9927,2490446,29.7026,118.5941
web,web_3_trace,134.2002592086792,Pass,467.21847128868103,39999981,12076473,3.3122,6018442,143600,0.4984,0.0119,2.3860%,3.5900,4392795,30.5905,109.8199,20999981,5487022,3.8272,3382696,64066,0.6165,0.0117,1.8939%,3.0508,2326760,36.3182,110.7982
web,web_4_trace,107.63480854034424,Pass,491.16216707229614,39999718,13134347,3.0454,6265226,162275,0.4770,0.0124,2.5901%,4.0569,4855154,29.9193,121.3797,20999718,6222961,3.3746,3426349,73798,0.5506,0.0119,2.1538%,3.5142,2106501,28.5441,100.3109
web,web_5_trace,119.46124076843262,Pass,491.96642422676086,39999694,12206459,3.2769,6198022,172075,0.5078,0.0141,2.7763%,4.3019,4550012,26.4420,113.7512,20999694,6320528,3.3225,3330435,100978,0.5269,0.0160,3.0320%,4.8085,2606978,25.8173,124.1436
web,web_6_trace,115.35440254211426,Pass,464.41740560531616,40000022,12969078,3.0843,6002648,184334,0.4628,0.0142,3.0709%,4.6083,5471345,29.6817,136.7835,20000022,6766390,2.9558,2962421,114064,0.4378,0.0169,3.8504%,5.7032,3354075,29.4052,167.7036
web,web_7_trace,41.589111328125,Pass,316.6696021556854,39999850,9466681,4.2253,6633962,249883,0.7008,0.0264,3.7667%,6.2471,4674315,18.7060,116.8583,20999850,4521123,4.6448,3471337,115334,0.7678,0.0255,3.3225%,5.4921,1988924,17.2449,94.7113
web,web_8_trace,110.87185478210449,Pass,504.33058285713196,39999955,13762979,2.9063,6210740,184723,0.4513,0.0134,2.9743%,4.6181,4958105,26.8408,123.9528,20999955,5723280,3.6692,3431526,82115,0.5996,0.0143,2.3930%,3.9102,2130240,25.9422,101.4402
web,web_9_trace,113.31267833709717,Pass,505.85406160354614,39999863,13950260,2.8673,6952037,99937,0.4983,0.0072,1.4375%,2.4984,2533613,25.3521,63.3405,20999863,4400070,4.7726,4136031,2592,0.9400,0.0006,0.0627%,0.1234,50384,19.4383,2.3993
