Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,697.6866419315338,39999493,20072622,1.9927,11904941,55008,0.5931,0.0027,0.4621%,1.3752,6935132,126.0750,173.3805,20999493,9737986,2.1565,6370198,19908,0.6542,0.0020,0.3125%,0.9480,2239291,112.4820,106.6355
web,web_10_trace,67.32332420349121,Pass,313.01834416389465,19999796,11084018,1.8044,2621960,59409,0.2366,0.0054,2.2658%,2.9705,1870707,31.4886,93.5363,10999796,3312465,3.3207,1436395,25622,0.4336,0.0077,1.7838%,2.3293,694632,27.1108,63.1495
web,web_11_trace,43.46553611755371,Pass,182.57183170318604,10001443,11482941,0.8710,1391369,48346,0.1212,0.0042,3.4747%,4.8339,1986899,41.0975,198.6612,5001443,5045002,0.9914,674449,24111,0.1337,0.0048,3.5749%,4.8208,916348,38.0054,183.2167
web,web_12_trace,61.48514461517334,Pass,255.15953874588013,15000009,9220431,1.6268,2254326,61621,0.2445,0.0067,2.7335%,4.1081,2033109,32.9938,135.5405,8000009,4272522,1.8724,1175254,38011,0.2751,0.0089,3.2343%,4.7514,1136365,29.8957,142.0455
web,web_13_trace,134.68522262573242,Pass,442.3526427745819,39999813,16868249,2.3713,4813533,120070,0.2854,0.0071,2.4944%,3.0018,3817720,31.7958,95.4434,20999813,7099531,2.9579,2687998,55219,0.3786,0.0078,2.0543%,2.6295,1913793,34.6582,91.1338
web,web_14_trace,235.48800468444824,Pass,780.3263266086578,70000043,19764150,3.5418,11059737,252882,0.5596,0.0128,2.2865%,3.6126,10637949,42.0668,151.9706,35000043,8528451,4.1039,5268168,98328,0.6177,0.0115,1.8665%,2.8094,4171772,42.4271,119.1933
web,web_15_trace,61.94837951660156,Pass,254.6102979183197,14999858,7960660,1.8842,2411251,80083,0.3029,0.0101,3.3212%,5.3389,2375738,29.6659,158.3840,7999858,3240136,2.4690,1229867,34479,0.3796,0.0106,2.8035%,4.3100,914548,26.5248,114.3205
web,web_16_trace,61.720746994018555,Pass,240.30298566818237,20000052,9929478,2.0142,1486259,33114,0.1497,0.0033,2.2280%,1.6557,1215928,36.7195,60.7962,10000052,6897941,1.4497,732871,22518,0.1062,0.0033,3.0726%,2.2518,828001,36.7706,82.7997
web,web_17_trace,54.710463523864746,Pass,231.7047622203827,15000021,6118894,2.4514,2215426,22585,0.3621,0.0037,1.0194%,1.5057,912498,40.4028,60.8331,8000021,2275961,3.5150,1069158,5132,0.4698,0.0023,0.4800%,0.6415,167937,32.7235,20.9921
web,web_18_trace,40.12125015258789,Pass,247.2683720588684,15000059,3930514,3.8163,1853795,41703,0.4716,0.0106,2.2496%,2.7802,2048636,49.1244,136.5752,8000059,1983761,4.0328,994147,20786,0.5011,0.0105,2.0908%,2.5982,1034676,49.7775,129.3335
web,web_19_trace,46.80075454711914,Pass,262.78397607803345,15000016,9477266,1.5827,2562002,79361,0.2703,0.0084,3.0976%,5.2907,2406206,30.3198,160.4136,8000016,4312329,1.8551,1380363,51393,0.3201,0.0119,3.7232%,6.4241,1217976,23.6993,152.2467
web,web_1_trace,158.93916416168213,Pass,518.7335822582245,39999048,12062727,3.3159,5515292,133950,0.4572,0.0111,2.4287%,3.3488,4527552,33.8003,113.1915,20999048,4983518,4.2137,2909408,70516,0.5838,0.0141,2.4237%,3.3581,1954090,27.7113,93.0561
web,web_20_trace,91.22524166107178,Pass,257.23022198677063,20000004,10277118,1.9461,3186911,66948,0.3101,0.0065,2.1007%,3.3474,2034009,30.3819,101.7004,10000004,3739155,2.6744,1586755,18087,0.4244,0.0048,1.1399%,1.8087,566893,31.3426,56.6893
web,web_21_trace,37.0328950881958,Pass,150.63516664505005,15000054,5923730,2.5322,2614946,23696,0.4414,0.0040,0.9062%,1.5797,2030398,85.6853,135.3594,8000054,4729450,1.6915,1411368,18709,0.2984,0.0040,1.3256%,2.3386,1837095,98.1931,229.6353
web,web_22_trace,51.9125394821167,Pass,285.5681805610657,20000051,5977615,3.3458,2417352,66118,0.4044,0.0111,2.7351%,3.3059,2976703,45.0211,148.8348,10000051,2632033,3.7994,1222376,30559,0.4644,0.0116,2.5000%,3.0559,1424083,46.6011,142.4076
web,web_23_trace,60.17267894744873,Pass,218.95963978767395,20000047,6292806,3.1782,3286069,21398,0.5222,0.0034,0.6512%,1.0699,761231,35.5749,38.0615,10000047,4571331,2.1876,1544231,16238,0.3378,0.0036,1.0515%,1.6238,568985,35.0403,56.8982
