Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,256.2543456554413,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_10_trace,270.7881956100464,Pass,550.1884915828705,40000016,6906521,5.7916,3492402,84696,0.5057,0.0123,2.4252%,2.1174,1849833,21.8409,46.2458,20000016,3394268,5.8923,1748758,40644,0.5152,0.0120,2.3242%,2.0322,890206,21.9025,44.5103
fp,fp_11_trace,297.7953281402588,Pass,563.1566269397736,40000016,7618526,5.2504,3526510,27956,0.4629,0.0037,0.7927%,0.6989,614319,21.9745,15.3580,20000016,3681981,5.4319,1776440,13741,0.4825,0.0037,0.7735%,0.6870,296226,21.5578,14.8113
fp,fp_12_trace,48.495734214782715,Pass,448.81150245666504,40000016,8115976,4.9286,4420257,48627,0.5446,0.0060,1.1001%,1.2157,3007701,61.8525,75.1925,20000016,3937453,5.0794,2222665,21585,0.5645,0.0055,0.9711%,1.0792,1342231,62.1835,67.1115
fp,fp_13_trace,84.63656806945801,Pass,377.8149003982544,40000016,15292133,2.6157,6454282,507592,0.4221,0.0332,7.8644%,12.6898,10787794,21.2529,269.6947,20000016,7507852,2.6639,3233671,254350,0.4307,0.0339,7.8657%,12.7175,5311866,20.8841,265.5931
fp,fp_1_trace,42.69381523132324,Pass,245.49579405784607,30000052,30423720,0.9861,5950800,467449,0.1956,0.0154,7.8552%,15.5816,26721438,57.1644,890.7131,15000052,15229086,0.9850,2965791,234752,0.1947,0.0154,7.9153%,15.6501,13387849,57.0298,892.5202
fp,fp_2_trace,113.98153591156006,Pass,353.0089998245239,30000052,6215210,4.8269,2471756,76844,0.3977,0.0124,3.1089%,2.5615,2698134,35.1118,89.9376,15000052,3067702,4.8897,1232306,39203,0.4017,0.0128,3.1813%,2.6135,1356681,34.6066,90.4451
fp,fp_3_trace,223.02585411071777,Pass,412.8244230747223,30000052,12794203,2.3448,1539997,60945,0.1204,0.0048,3.9575%,2.0315,6715360,110.1872,223.8449,15000052,6386530,2.3487,770204,31215,0.1206,0.0049,4.0528%,2.0810,3393313,108.7078,226.2201
fp,fp_4_trace,106.30326175689697,Pass,357.97233033180237,30000052,6539941,4.5872,2573337,17207,0.3935,0.0026,0.6687%,0.5736,1010474,58.7246,33.6824,15000052,2608089,5.7514,1285217,6594,0.4928,0.0025,0.5131%,0.4396,284058,43.0783,18.9371
fp,fp_5_trace,332.9483413696289,Pass,576.9631681442261,40000016,7567836,5.2855,740391,37456,0.0978,0.0049,5.0589%,0.9364,1283297,34.2615,32.0824,20000016,3749190,5.3345,370890,18645,0.0989,0.0050,5.0271%,0.9322,641183,34.3890,32.0591
fp,fp_6_trace,63.58891201019287,Pass,402.18960213661194,40000016,5845956,6.8423,7034423,40772,1.2033,0.0070,0.5796%,1.0193,1515942,37.1810,37.8985,20000016,2836989,7.0497,3515104,19022,1.2390,0.0067,0.5412%,0.9511,711332,37.3952,35.5666
fp,fp_7_trace,159.0718936920166,Pass,494.99842047691345,40000016,7881807,5.0750,4716883,45110,0.5985,0.0057,0.9564%,1.1277,1932342,42.8362,48.3085,20000016,3719888,5.3765,2394520,19320,0.6437,0.0052,0.8068%,0.9660,828152,42.8650,41.4076
fp,fp_8_trace,211.10272789001465,Pass,490.6649098396301,40000016,13212988,3.0273,2322129,314952,0.1757,0.0238,13.5631%,7.8738,7166962,22.7557,179.1740,20000016,7384504,2.7084,1347173,222234,0.1824,0.0301,16.4963%,11.1117,4993058,22.4676,249.6527
fp,fp_9_trace,143.53112411499023,Pass,495.12659311294556,40000016,16707684,2.3941,5012816,182074,0.3000,0.0109,3.6322%,4.5518,11928295,65.5134,298.2073,20000016,8027245,2.4915,2500178,98187,0.3115,0.0122,3.9272%,4.9093,5724562,58.3026,286.2279
