Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,402.63306283950806,40000016,8849295,4.5201,5140781,51328,0.5809,0.0058,0.9984%,1.2832,1491214,29.0526,37.2803,20000016,4402530,4.5428,2582400,26487,0.5866,0.0060,1.0257%,1.3243,792356,29.9149,39.6178
infra,infra_10_trace,117.67702960968018,Pass,450.3295066356659,50000052,18421599,2.7142,6548159,267715,0.3555,0.0145,4.0884%,5.3543,13142609,49.0918,262.8519,25000052,6360933,3.9302,3150015,119998,0.4952,0.0189,3.8094%,4.7999,4108841,34.2409,164.3533
infra,infra_11_trace,209.36411476135254,Pass,475.270170211792,50000052,18368522,2.7221,7754708,54425,0.4222,0.0030,0.7018%,1.0885,3986008,73.2385,79.7201,25000052,9234904,2.7071,3881908,25615,0.4204,0.0028,0.6599%,1.0246,2261456,88.2864,90.4581
infra,infra_12_trace,207.57365608215332,Pass,470.90039253234863,50000052,17565210,2.8465,7862103,53529,0.4476,0.0030,0.6808%,1.0706,3487507,65.1517,69.7501,25000052,8359221,2.9907,3927069,25077,0.4698,0.0030,0.6386%,1.0031,1708176,68.1172,68.3269
infra,infra_13_trace,139.63556957244873,Pass,444.3684649467468,50000052,20549472,2.4332,6532412,212019,0.3179,0.0103,3.2456%,4.2404,13758418,64.8924,275.1681,25000052,9708960,2.5749,3378036,87032,0.3479,0.0090,2.5764%,3.4813,5209454,59.8568,208.3777
infra,infra_14_trace,118.4549331665039,Pass,449.5087742805481,50000052,17941983,2.7868,6536492,270164,0.3643,0.0151,4.1332%,5.4033,12841347,47.5317,256.8267,25000052,6331169,3.9487,3156210,119003,0.4985,0.0188,3.7704%,4.7601,4084844,34.3256,163.3934
infra,infra_15_trace,101.22027969360352,Pass,439.72059321403503,50000052,34389055,1.4540,6957507,422737,0.2023,0.0123,6.0760%,8.4547,29863283,70.6427,597.2650,25000052,6403312,3.9042,3466846,146941,0.5414,0.0229,4.2385%,5.8776,4125600,28.0766,165.0237
infra,infra_1_trace,175.13615703582764,Pass,371.66318798065186,37799521,8188465,4.6162,4337669,13509,0.5297,0.0016,0.3114%,0.3574,590756,43.7306,15.6287,19799521,3728024,5.3110,2263258,3789,0.6071,0.0010,0.1674%,0.1914,124839,32.9477,6.3052
infra,infra_2_trace,221.61112022399902,Pass,767.2901301383972,47546686,10634682,4.4709,5818731,23002,0.5471,0.0022,0.3953%,0.4838,717115,31.1762,15.0823,24546686,4321917,5.6796,2997214,7812,0.6935,0.0018,0.2606%,0.3183,149172,19.0952,6.0771
infra,infra_3_trace,83.57435989379883,Pass,400.0392551422119,40000016,8067704,4.9580,5433078,42530,0.6734,0.0053,0.7828%,1.0632,1096864,25.7904,27.4216,20000016,4001584,4.9980,2737308,19736,0.6841,0.0049,0.7210%,0.9868,519607,26.3279,25.9803
infra,infra_4_trace,84.87091732025146,Pass,438.49168515205383,40000016,23955251,1.6698,5988066,99161,0.2500,0.0041,1.6560%,2.4790,12293775,123.9779,307.3443,20000016,11990897,1.6679,2971304,50133,0.2478,0.0042,1.6872%,2.5066,6181793,123.3079,309.0894
infra,infra_5_trace,58.871103286743164,Pass,469.23672580718994,40000016,34494956,1.1596,7268207,88475,0.2107,0.0026,1.2173%,2.2119,26313980,297.4171,657.8492,20000016,22160729,0.9025,3539219,63089,0.1597,0.0028,1.7826%,3.1544,18322092,290.4166,916.1039
infra,infra_6_trace,168.09687328338623,Pass,654.2028484344482,64718349,15398661,4.2029,9187928,81816,0.5967,0.0053,0.8905%,1.2642,3176524,38.8252,49.0823,32718349,7747457,4.2231,5004718,39560,0.6460,0.0051,0.7905%,1.2091,1817718,45.9484,55.5565
infra,infra_7_trace,65.31903553009033,Pass,455.31151032447815,40000016,21860677,1.8298,6716982,59934,0.3073,0.0027,0.8923%,1.4983,8235878,137.4158,205.8969,20000016,11200946,1.7856,3345402,16963,0.2987,0.0015,0.5071%,0.8481,3454195,203.6311,172.7096
infra,infra_8_trace,54.09443473815918,Pass,483.7927551269531,40000016,24567609,1.6282,7460282,50271,0.3037,0.0020,0.6738%,1.2568,15877935,315.8468,396.9482,20000016,12253991,1.6321,3730712,24949,0.3044,0.0020,0.6687%,1.2474,7903200,316.7742,395.1597
infra,infra_9_trace,141.69822597503662,Pass,468.3290972709656,50000052,29107563,1.7178,7203244,229535,0.2475,0.0079,3.1866%,4.5907,19550006,85.1722,390.9997,25000052,17097093,1.4622,3405201,170796,0.1992,0.0100,5.0157%,6.8318,14474203,84.7456,578.9669
