Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,553.1776204109192,39999493,19824864,2.0176,11904941,55845,0.6005,0.0028,0.4691%,1.3961,6490653,116.2262,162.2684,20999493,9778989,2.1474,6370198,20578,0.6514,0.0021,0.3230%,0.9799,2280927,110.8430,108.6182
web,web_10_trace,67.32332420349121,Pass,204.0823199748993,19999796,11254432,1.7771,2621960,67319,0.2330,0.0060,2.5675%,3.3660,2049367,30.4426,102.4694,10999796,3361366,3.2724,1436395,28273,0.4273,0.0084,1.9683%,2.5703,747489,26.4383,67.9548
web,web_11_trace,43.46553611755371,Pass,175.23174691200256,10001443,11690760,0.8555,1391369,57903,0.1190,0.0050,4.1616%,5.7895,2207557,38.1251,220.7238,5001443,5161129,0.9691,674449,29985,0.1307,0.0058,4.4459%,5.9953,1041622,34.7381,208.2643
web,web_12_trace,61.48514461517334,Pass,264.87807631492615,15000009,9341910,1.6057,2254326,66545,0.2413,0.0071,2.9519%,4.4363,2173260,32.6585,144.8839,8000009,4324219,1.8500,1175254,40011,0.2718,0.0093,3.4045%,5.0014,1195890,29.8890,149.4861
web,web_13_trace,134.68522262573242,Pass,472.726628780365,39999813,17197650,2.3259,4813533,135751,0.2799,0.0079,2.8202%,3.3938,4177506,30.7733,104.4381,20999813,7284355,2.8829,2687998,64215,0.3690,0.0088,2.3890%,3.0579,2110810,32.8710,100.5157
web,web_14_trace,235.48800468444824,Pass,716.0529918670654,70000043,19825074,3.5309,11059737,256389,0.5579,0.0129,2.3182%,3.6627,10712547,41.7824,153.0363,35000043,8556339,4.0905,5268168,99962,0.6157,0.0117,1.8975%,2.8561,4204169,42.0577,120.1190
web,web_15_trace,61.94837951660156,Pass,233.28293323516846,14999858,8171185,1.8357,2411251,91580,0.2951,0.0112,3.7980%,6.1054,2602922,28.4224,173.5298,7999858,3411047,2.3453,1229867,44062,0.3606,0.0129,3.5827%,5.5078,1101266,24.9936,137.6607
web,web_16_trace,61.720746994018555,Pass,330.56977701187134,20000052,10030330,1.9940,1486259,37076,0.1482,0.0037,2.4946%,1.8538,1323964,35.7095,66.1980,10000052,6979080,1.4329,732871,25998,0.1050,0.0037,3.5474%,2.5998,915041,35.1966,91.5036
web,web_17_trace,54.710463523864746,Pass,256.62743496894836,15000021,6203005,2.4182,2215426,25901,0.3572,0.0042,1.1691%,1.7267,1000783,38.6388,66.7188,8000021,2301504,3.4760,1069158,5985,0.4645,0.0026,0.5598%,0.7481,194531,32.5031,24.3163
web,web_18_trace,40.12125015258789,Pass,210.21151113510132,15000059,3967093,3.7811,1853795,42691,0.4673,0.0108,2.3029%,2.8461,2085737,48.8566,139.0486,8000059,2001276,3.9975,994147,21360,0.4968,0.0107,2.1486%,2.6700,1054150,49.3516,131.7678
web,web_19_trace,46.80075454711914,Pass,172.04535794258118,15000016,9708057,1.5451,2562002,90113,0.2639,0.0093,3.5173%,6.0075,2652729,29.4378,176.8484,8000016,4477370,1.7868,1380363,60126,0.3083,0.0134,4.3558%,7.5157,1394711,23.1965,174.3385
web,web_1_trace,158.93916416168213,Pass,512.097452878952,39999048,12188839,3.2816,5515292,140742,0.4525,0.0115,2.5519%,3.5186,4666737,33.1581,116.6712,20999048,5065818,4.1452,2909408,74923,0.5743,0.0148,2.5752%,3.5679,2041679,27.2504,97.2272
web,web_20_trace,91.22524166107178,Pass,266.44227719306946,20000004,10622365,1.8828,3186911,84360,0.3000,0.0079,2.6471%,4.2180,2405539,28.5152,120.2769,10000004,3864886,2.5874,1586755,24995,0.4106,0.0065,1.5752%,2.4995,700665,28.0322,70.0665
web,web_21_trace,37.0328950881958,Pass,216.60852813720703,15000054,5979248,2.5087,2614946,25911,0.4373,0.0043,0.9909%,1.7274,2102073,81.1267,140.1377,8000054,4785447,1.6717,1411368,20846,0.2949,0.0044,1.4770%,2.6057,1909845,91.6169,238.7290
web,web_22_trace,51.9125394821167,Pass,280.37903690338135,20000051,6022013,3.3212,2417352,67791,0.4014,0.0113,2.8043%,3.3895,3028282,44.6709,151.4137,10000051,2653499,3.7686,1222376,31360,0.4607,0.0118,2.5655%,3.1360,1449700,46.2277,144.9693
web,web_23_trace,60.17267894744873,Pass,286.3564558029175,20000047,6339599,3.1548,3286069,23079,0.5183,0.0036,0.7023%,1.1539,811106,35.1448,40.5552,10000047,4616351,2.1662,1544231,17933,0.3345,0.0039,1.1613%,1.7933,616147,34.3583,61.6144
web,web_24_trace,80.5669527053833,Pass,266.45279717445374,14999923,8442950,1.7766,1985890,30684,0.2352,0.0036,1.5451%,2.0456,930775,30.3342,62.0520,7999923,4035258,1.9825,1067447,14552,0.2645,0.0036,1.3633%,1.8190,421964,28.9970,52.7460
web,web_25_trace,46.08135795593262,Pass,256.9823160171509,14999989,7434913,2.0175,2548670,95689,0.3428,0.0129,3.7545%,6.3793,3201488,33.4572,213.4327,7999989,3053779,2.6197,1342253,55675,0.4395,0.0182,4.1479%,6.9594,1821007,32.7078,227.6262
web,web_2_trace,126.7424545288086,Pass,497.561537027359,39999746,12162743,3.2887,5842811,166639,0.4804,0.0137,2.8520%,4.1660,4557452,27.3493,113.9370,20999746,5918095,3.5484,3176039,92251,0.5367,0.0156,2.9046%,4.3930,2666919,28.9094,126.9977
web,web_3_trace,134.2002592086792,Pass,492.91168189048767,39999981,12363767,3.2353,6018442,159158,0.4868,0.0129,2.6445%,3.9790,4697947,29.5175,117.4487,20999981,5654770,3.7137,3382696,73066,0.5982,0.0129,2.1600%,3.4793,2507805,34.3225,119.4194
web,web_4_trace,107.63480854034424,Pass,389.77234649658203,39999718,13435257,2.9772,6265226,177540,0.4663,0.0132,2.8337%,4.4385,5169722,29.1186,129.2440,20999718,6380290,3.2913,3426349,82543,0.5370,0.0129,2.4091%,3.9307,2270913,27.5119,108.1402
web,web_5_trace,119.46124076843262,Pass,445.2833294868469,39999694,12506945,3.1982,6198022,188476,0.4956,0.0151,3.0409%,4.7119,4863460,25.8041,121.5874,20999694,6539619,3.2111,3330435,112998,0.5093,0.0173,3.3929%,5.3809,2835154,25.0903,135.0093
web,web_6_trace,115.35440254211426,Pass,499.52047204971313,40000022,13193899,3.0317,6002648,195574,0.4550,0.0148,3.2581%,4.8893,5706259,29.1770,142.6564,20000022,6904715,2.8966,2962421,120819,0.4290,0.0175,4.0784%,6.0409,3497624,28.9493,174.8810
web,web_7_trace,41.589111328125,Pass,388.7279074192047,39999850,10449578,3.8279,6633962,310102,0.6349,0.0297,4.6745%,7.7526,5723701,18.4575,143.0931,20999850,5033973,4.1716,3471337,147583,0.6896,0.0293,4.2515%,7.0278,2531405,17.1524,120.5440
web,web_8_trace,110.87185478210449,Pass,393.3877811431885,39999955,14115315,2.8338,6210740,204349,0.4400,0.0145,3.2903%,5.1087,5324224,26.0546,133.1057,20999955,5934691,3.5385,3431526,94252,0.5782,0.0159,2.7466%,4.4882,2350441,24.9378,111.9260
web,web_9_trace,113.31267833709717,Pass,482.70260882377625,39999863,14253065,2.8064,6952037,117305,0.4878,0.0082,1.6873%,2.9326,2848704,24.2846,71.2178,20999863,4412638,4.7590,4136031,3297,0.9373,0.0007,0.0797%,0.1570,63319,19.2050,3.0152
