Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,349.6656551361084,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_10_trace,270.7881956100464,Pass,897.6190869808197,40000016,6813903,5.8704,3492402,75692,0.5125,0.0111,2.1673%,1.8923,1703530,22.5061,42.5882,20000016,3350930,5.9685,1748758,36425,0.5219,0.0109,2.0829%,1.8212,821712,22.5590,41.0856
fp,fp_11_trace,297.7953281402588,Pass,970.3452775478363,40000016,7617109,5.2513,3526510,27887,0.4630,0.0037,0.7908%,0.6972,612735,21.9721,15.3184,20000016,3681360,5.4328,1776440,13702,0.4825,0.0037,0.7713%,0.6851,295548,21.5697,14.7774
fp,fp_12_trace,48.495734214782715,Pass,770.7636151313782,40000016,8119538,4.9264,4420257,48562,0.5444,0.0060,1.0986%,1.2140,3011379,62.0110,75.2844,20000016,3938605,5.0779,2222665,21501,0.5643,0.0055,0.9674%,1.0750,1342914,62.4582,67.1456
fp,fp_13_trace,84.63656806945801,Pass,599.4962980747223,40000016,12602553,3.1740,6454282,359090,0.5121,0.0285,5.5636%,8.9772,7948258,22.1344,198.7064,20000016,6139122,3.2578,3233671,178551,0.5267,0.0291,5.5216%,8.9275,3866413,21.6544,193.3205
fp,fp_1_trace,42.69381523132324,Pass,329.94054889678955,30000052,30423720,0.9861,5950800,467449,0.1956,0.0154,7.8552%,15.5816,26721438,57.1644,890.7131,15000052,15229086,0.9850,2965791,234752,0.1947,0.0154,7.9153%,15.6501,13387849,57.0298,892.5202
fp,fp_2_trace,113.98153591156006,Pass,511.34634280204773,30000052,6215076,4.8270,2471756,76763,0.3977,0.0124,3.1056%,2.5588,2696852,35.1322,89.8949,15000052,3068549,4.8883,1232306,39193,0.4016,0.0128,3.1805%,2.6129,1356604,34.6134,90.4400
fp,fp_3_trace,223.02585411071777,Pass,626.4867446422577,30000052,12773201,2.3487,1539997,60623,0.1206,0.0047,3.9366%,2.0208,6685112,110.2735,222.8367,15000052,6368901,2.3552,770204,30924,0.1209,0.0049,4.0150%,2.0616,3370605,108.9964,224.7062
fp,fp_4_trace,106.30326175689697,Pass,593.8226885795593,30000052,6543118,4.5850,2573337,17225,0.3933,0.0026,0.6694%,0.5742,1015945,58.9808,33.8648,15000052,2607469,5.7527,1285217,6553,0.4929,0.0025,0.5099%,0.4369,282761,43.1499,18.8507
fp,fp_5_trace,332.9483413696289,Pass,864.6455261707306,40000016,7568389,5.2851,740391,37445,0.0978,0.0049,5.0575%,0.9361,1284596,34.3062,32.1149,20000016,3750039,5.3333,370890,18654,0.0989,0.0050,5.0295%,0.9327,642252,34.4297,32.1126
fp,fp_6_trace,63.58891201019287,Pass,650.7520911693573,40000016,5816544,6.8769,7034423,39345,1.2094,0.0068,0.5593%,0.9836,1484856,37.7394,37.1214,20000016,2826397,7.0762,3515104,18449,1.2437,0.0065,0.5248%,0.9224,700480,37.9685,35.0240
fp,fp_7_trace,159.0718936920166,Pass,840.1148264408112,40000016,7883578,5.0738,4716883,45182,0.5983,0.0057,0.9579%,1.1295,1936438,42.8586,48.4109,20000016,3723658,5.3711,2394520,19458,0.6431,0.0052,0.8126%,0.9729,833334,42.8273,41.6667
fp,fp_8_trace,211.10272789001465,Pass,814.6546473503113,40000016,11839693,3.3785,2322129,211941,0.1961,0.0179,9.1270%,5.2985,5734840,27.0587,143.3709,20000016,6425914,3.1124,1347173,150964,0.2096,0.0235,11.2060%,7.5482,3994117,26.4574,199.7057
fp,fp_9_trace,143.53112411499023,Pass,771.5582692623138,40000016,16700947,2.3951,5012816,181907,0.3002,0.0109,3.6288%,4.5477,11912954,65.4893,297.8237,20000016,8021904,2.4932,2500178,97970,0.3117,0.0122,3.9185%,4.8985,5716181,58.3462,285.8088
