Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,732.8702261447906,40000016,8846101,4.5218,5140781,51129,0.5811,0.0058,0.9946%,1.2782,1489469,29.1316,37.2367,20000016,4401541,4.5439,2582400,26385,0.5867,0.0060,1.0217%,1.3192,794587,30.1151,39.7293
infra,infra_10_trace,117.67702960968018,Pass,762.7183353900909,50000052,18434741,2.7123,6548159,268450,0.3552,0.0146,4.0996%,5.3690,13156590,49.0095,263.1315,25000052,6374958,3.9216,3150015,120503,0.4941,0.0189,3.8255%,4.8201,4123993,34.2232,164.9594
infra,infra_11_trace,209.36411476135254,Pass,754.5159697532654,50000052,18360550,2.7232,7754708,54195,0.4224,0.0030,0.6989%,1.0839,3970013,73.2542,79.4002,25000052,9226076,2.7097,3881908,25440,0.4208,0.0028,0.6553%,1.0176,2242717,88.1571,89.7085
infra,infra_12_trace,207.57365608215332,Pass,755.3287289142609,50000052,17569854,2.8458,7862103,53786,0.4475,0.0031,0.6841%,1.0757,3516798,65.3850,70.3359,25000052,8367419,2.9878,3927069,25190,0.4693,0.0030,0.6414%,1.0076,1733425,68.8140,69.3369
infra,infra_13_trace,139.63556957244873,Pass,766.7021503448486,50000052,20572116,2.4305,6532412,212478,0.3175,0.0103,3.2527%,4.2496,13790676,64.9040,275.8132,25000052,9727919,2.5699,3378036,87431,0.3473,0.0090,2.5882%,3.4972,5238167,59.9120,209.5262
infra,infra_14_trace,118.4549331665039,Pass,743.9446542263031,50000052,17950586,2.7854,6536492,270890,0.3641,0.0151,4.1443%,5.4178,12850549,47.4383,257.0107,25000052,6340505,3.9429,3156210,119607,0.4978,0.0189,3.7896%,4.7843,4095041,34.2375,163.8013
infra,infra_15_trace,101.22027969360352,Pass,722.4882040023804,50000052,34408352,1.4531,6957507,423955,0.2022,0.0123,6.0935%,8.4791,29884684,70.4902,597.6931,25000052,6419147,3.8946,3466846,147783,0.5401,0.0230,4.2628%,5.9113,4142310,28.0297,165.6921
infra,infra_1_trace,175.13615703582764,Pass,678.3097305297852,37799521,8190751,4.6149,4337669,13536,0.5296,0.0017,0.3121%,0.3581,595157,43.9685,15.7451,19799521,3727780,5.3113,2263258,3755,0.6071,0.0010,0.1659%,0.1897,124596,33.1814,6.2929
infra,infra_2_trace,221.61112022399902,Pass,1609.5064220428467,47546686,10636139,4.4703,5818731,23182,0.5471,0.0022,0.3984%,0.4876,720181,31.0664,15.1468,24546686,4325533,5.6748,2997214,7931,0.6929,0.0018,0.2646%,0.3231,152828,19.2697,6.2260
infra,infra_3_trace,83.57435989379883,Pass,703.934446811676,40000016,8060848,4.9623,5433078,42152,0.6740,0.0052,0.7758%,1.0538,1086291,25.7708,27.1573,20000016,3997369,5.0033,2737308,19418,0.6848,0.0049,0.7094%,0.9709,512604,26.3984,25.6302
infra,infra_4_trace,84.87091732025146,Pass,721.341255903244,40000016,23930276,1.6715,5988066,98346,0.2502,0.0041,1.6424%,2.4586,12252214,124.5827,306.3052,20000016,11978428,1.6697,2971304,49753,0.2481,0.0042,1.6745%,2.4876,6163674,123.8855,308.1835
infra,infra_5_trace,58.871103286743164,Pass,808.6394288539886,40000016,34494072,1.1596,7268207,88459,0.2107,0.0026,1.2171%,2.2115,26312813,297.4577,657.8201,20000016,22159845,0.9025,3539219,63073,0.1597,0.0028,1.7821%,3.1536,18320925,290.4718,916.0455
infra,infra_6_trace,168.09687328338623,Pass,1135.0517275333405,64718349,15391167,4.2049,9187928,81639,0.5970,0.0053,0.8885%,1.2615,3160965,38.7188,48.8419,32718349,7741198,4.2265,5004718,39452,0.6465,0.0051,0.7883%,1.2058,1806661,45.7939,55.2186
infra,infra_7_trace,65.31903553009033,Pass,742.1994836330414,40000016,21835503,1.8319,6716982,59867,0.3076,0.0027,0.8913%,1.4967,8200660,136.9813,205.0164,20000016,11198894,1.7859,3345402,16885,0.2987,0.0015,0.5047%,0.8442,3443158,203.9182,172.1578
infra,infra_8_trace,54.09443473815918,Pass,815.1195366382599,40000016,24566737,1.6282,7460282,50262,0.3037,0.0020,0.6737%,1.2565,15876868,315.8821,396.9215,20000016,12253119,1.6322,3730712,24940,0.3045,0.0020,0.6685%,1.2470,7902133,316.8457,395.1063
infra,infra_9_trace,141.69822597503662,Pass,773.9247665405273,50000052,29198766,1.7124,7203244,229934,0.2467,0.0079,3.1921%,4.5987,19650857,85.4630,393.0167,25000052,17199088,1.4536,3405201,171221,0.1980,0.0100,5.0282%,6.8488,14590489,85.2144,583.6183
