Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,854.1755659580231,40000041,14700192,2.7211,6223265,205326,0.4233,0.0140,3.2993%,5.1331,10013588,48.7692,250.3394,20000041,6530273,3.0627,3076555,100372,0.4711,0.0154,3.2625%,5.0186,4301590,42.8565,215.0791
int,int_10_trace,204.85591316223145,Pass,1512.0934653282166,60000052,9672947,6.2029,7032592,32216,0.7270,0.0033,0.4581%,0.5369,878394,27.2658,14.6399,30000052,4471754,6.7088,3499163,15369,0.7825,0.0034,0.4392%,0.5123,352856,22.9589,11.7618
int,int_11_trace,203.19092559814453,Pass,1265.4110367298126,60000052,16592159,3.6162,4130584,253123,0.2489,0.0153,6.1280%,4.2187,9191341,36.3118,153.1889,30000052,8297446,3.6156,2064453,127898,0.2488,0.0154,6.1952%,4.2633,4636431,36.2510,154.5474
int,int_12_trace,204.59925079345703,Pass,1590.4622330665588,59999603,18454419,3.2512,6357220,27492,0.3445,0.0015,0.4325%,0.4582,1028140,37.3978,17.1358,30999603,4970315,6.2369,4522132,26285,0.9098,0.0053,0.5813%,0.8479,948427,36.0824,30.5948
int,int_13_trace,32.30572509765625,Pass,1077.9930846691132,40000052,6230129,6.4204,4243961,36742,0.6812,0.0059,0.8657%,0.9185,1056493,28.7544,26.4123,20000052,3055004,6.5467,2111572,17351,0.6912,0.0057,0.8217%,0.8675,506616,29.1981,25.3307
int,int_14_trace,177.29002475738525,Pass,1108.784069776535,39999640,6990371,5.7221,7635435,15807,1.0923,0.0023,0.2070%,0.3952,405022,25.6230,10.1256,20999640,3398426,6.1792,3974167,6826,1.1694,0.0020,0.1718%,0.3251,155834,22.8295,7.4208
int,int_15_trace,98.1560001373291,Pass,1690.1130845546722,70000157,18505639,3.7826,9192864,33581,0.4968,0.0018,0.3653%,0.4797,1853811,55.2042,26.4830,35000157,9308091,3.7602,4669511,31817,0.5017,0.0034,0.6814%,0.9091,1477956,46.4518,42.2271
int,int_16_trace,128.2670030593872,Pass,1131.4072804450989,40000031,18997552,2.1055,6733574,324022,0.3544,0.0171,4.8120%,8.1005,7277360,22.4595,181.9339,20000031,8156390,2.4521,3364149,168453,0.4125,0.0207,5.0073%,8.4226,3625045,21.5196,181.2520
int,int_17_trace,128.60758018493652,Pass,1163.2957212924957,39999987,16612881,2.4078,6659971,254347,0.4009,0.0153,3.8190%,6.3587,5841849,22.9680,146.0463,20999987,6692628,3.1378,3432362,119290,0.5129,0.0178,3.4754%,5.6805,2631732,22.0616,125.3206
int,int_18_trace,108.31880569458008,Pass,1247.3654544353485,39999864,10809023,3.7006,9457814,33580,0.8750,0.0031,0.3551%,0.8395,1504809,44.8127,37.6204,20999864,5160390,4.0694,4985263,14533,0.9661,0.0028,0.2915%,0.6921,595883,41.0021,28.3756
int,int_19_trace,184.28955841064453,Pass,1159.8138990402222,40000052,7923731,5.0481,5852871,26567,0.7387,0.0034,0.4539%,0.6642,1346266,50.6744,33.6566,20000052,3741294,5.3458,2929049,10163,0.7829,0.0027,0.3470%,0.5081,569162,56.0033,28.4580
int,int_1_trace,92.84952068328857,Pass,1012.26429438591,30000052,17638740,1.7008,5301134,276633,0.3005,0.0157,5.2184%,9.2211,13652591,49.3527,455.0856,15000052,8380018,1.7900,2642836,136636,0.3154,0.0163,5.1701%,9.1090,6420683,46.9912,428.0440
int,int_20_trace,187.00185585021973,Pass,1558.640296459198,60000051,17305514,3.4671,9561405,165602,0.5525,0.0096,1.7320%,2.7600,5264664,31.7911,87.7443,30000051,7194090,4.1701,4877083,80144,0.6779,0.0111,1.6433%,2.6715,2251577,28.0941,75.0524
int,int_21_trace,91.63193035125732,Pass,1113.4025452136993,40000052,39989674,1.0003,9059172,628725,0.2265,0.0157,6.9402%,15.7181,34915359,55.5336,872.8828,20000052,19432910,1.0292,4504449,317301,0.2318,0.0163,7.0442%,15.8650,16851512,53.1089,842.5734
int,int_22_trace,96.68442058563232,Pass,1287.3959186077118,40000052,23056829,1.7348,6671960,215866,0.2894,0.0094,3.2354%,5.3966,15683690,72.6547,392.0917,20000052,11397180,1.7548,3314359,107956,0.2908,0.0095,3.2572%,5.3978,7755188,71.8366,387.7584
int,int_23_trace,182.35865116119385,Pass,1191.1158993244171,40000052,18485167,2.1639,5329093,138160,0.2883,0.0075,2.5926%,3.4540,6304747,45.6337,157.6185,20000052,8584821,2.3297,2669216,66325,0.3109,0.0077,2.4848%,3.3162,2673491,40.3089,133.6742
