Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,983.944299697876,39999493,19805661,2.0196,11904941,56036,0.6011,0.0028,0.4707%,1.4009,6472613,115.5081,161.8174,20999493,9747012,2.1545,6370198,20576,0.6536,0.0021,0.3230%,0.9798,2243427,109.0312,106.8324
web,web_10_trace,67.32332420349121,Pass,444.20546865463257,19999796,11252360,1.7774,2621960,67110,0.2330,0.0060,2.5595%,3.3555,2047410,30.5083,102.3715,10999796,3360760,3.2730,1436395,28138,0.4274,0.0084,1.9589%,2.5580,747168,26.5537,67.9256
web,web_11_trace,43.46553611755371,Pass,174.829598903656,10001443,11686213,0.8558,1391369,57863,0.1191,0.0050,4.1587%,5.7855,2207902,38.1574,220.7583,5001443,5157947,0.9697,674449,29957,0.1308,0.0058,4.4417%,5.9897,1039554,34.7015,207.8508
web,web_12_trace,61.48514461517334,Pass,351.4497399330139,15000009,9334651,1.6069,2254326,66269,0.2415,0.0071,2.9396%,4.4179,2162780,32.6364,144.1852,8000009,4320948,1.8514,1175254,39889,0.2720,0.0092,3.3941%,4.9861,1193167,29.9122,149.1457
web,web_13_trace,134.68522262573242,Pass,894.2191624641418,39999813,17208843,2.3244,4813533,135552,0.2797,0.0079,2.8161%,3.3888,4190157,30.9118,104.7544,20999813,7289238,2.8809,2687998,64039,0.3688,0.0088,2.3824%,3.0495,2118435,33.0804,100.8788
web,web_14_trace,235.48800468444824,Pass,1178.9502148628235,70000043,19835030,3.5291,11059737,256920,0.5576,0.0130,2.3230%,3.6703,10726440,41.7501,153.2348,35000043,8562096,4.0878,5268168,100269,0.6153,0.0117,1.9033%,2.8648,4210983,41.9969,120.3137
web,web_15_trace,61.94837951660156,Pass,316.8643171787262,14999858,8171327,1.8357,2411251,91103,0.2951,0.0111,3.7782%,6.0736,2606807,28.6138,173.7888,7999858,3404395,2.3499,1229867,43611,0.3613,0.0128,3.5460%,5.4515,1094518,25.0973,136.8172
web,web_16_trace,61.720746994018555,Pass,461.37784147262573,20000052,10035127,1.9930,1486259,37143,0.1481,0.0037,2.4991%,1.8571,1328588,35.7695,66.4292,10000052,6984798,1.4317,732871,26140,0.1049,0.0037,3.5668%,2.6140,920999,35.2333,92.0994
web,web_17_trace,54.710463523864746,Pass,235.42696022987366,15000021,6201512,2.4188,2215426,25962,0.3572,0.0042,1.1719%,1.7308,998271,38.4512,66.5513,8000021,2302365,3.4747,1069158,6048,0.4644,0.0026,0.5657%,0.7560,194801,32.2092,24.3501
web,web_18_trace,40.12125015258789,Pass,355.81009578704834,15000059,3956627,3.7911,1853795,42547,0.4685,0.0108,2.2951%,2.8365,2077371,48.8253,138.4909,8000059,1996021,4.0080,994147,21325,0.4981,0.0107,2.1451%,2.6656,1049291,49.2047,131.1604
web,web_19_trace,46.80075454711914,Pass,317.3606457710266,15000016,9708647,1.5450,2562002,90369,0.2639,0.0093,3.5273%,6.0246,2666125,29.5027,177.7415,8000016,4479438,1.7859,1380363,60164,0.3082,0.0134,4.3586%,7.5205,1396369,23.2094,174.5458
web,web_1_trace,158.93916416168213,Pass,810.4135813713074,39999048,12195076,3.2799,5515292,141149,0.4523,0.0116,2.5592%,3.5288,4671882,33.0989,116.7998,20999048,5073367,4.1391,2909408,75322,0.5735,0.0148,2.5889%,3.5869,2050164,27.2187,97.6313
web,web_20_trace,91.22524166107178,Pass,440.6624205112457,20000004,10624404,1.8825,3186911,84097,0.3000,0.0079,2.6388%,4.2048,2405888,28.6085,120.2944,10000004,3868432,2.5850,1586755,24961,0.4102,0.0065,1.5731%,2.4961,704702,28.2321,70.4702
web,web_21_trace,37.0328950881958,Pass,234.220929145813,15000054,5979923,2.5084,2614946,25991,0.4373,0.0043,0.9939%,1.7327,2105969,81.0269,140.3974,8000054,4786620,1.6713,1411368,20960,0.2949,0.0044,1.4851%,2.6200,1912701,91.2548,239.0860
web,web_22_trace,51.9125394821167,Pass,411.3577218055725,20000051,6017361,3.3237,2417352,67645,0.4017,0.0112,2.7983%,3.3822,3020230,44.6482,151.0111,10000051,2651874,3.7709,1222376,31367,0.4609,0.0118,2.5661%,3.1367,1444741,46.0593,144.4734
web,web_23_trace,60.17267894744873,Pass,495.09084701538086,20000047,6339693,3.1547,3286069,23306,0.5183,0.0037,0.7092%,1.1653,810114,34.7599,40.5056,10000047,4615278,2.1667,1544231,18027,0.3346,0.0039,1.1674%,1.8027,614373,34.0807,61.4370
web,web_24_trace,80.5669527053833,Pass,448.31945538520813,14999923,8438518,1.7776,1985890,30735,0.2353,0.0036,1.5477%,2.0490,923078,30.0334,61.5388,7999923,4030743,1.9847,1067447,14510,0.2648,0.0036,1.3593%,1.8138,411404,28.3531,51.4260
