Group,Baseline,Predictor,MetricIPC,MetricMPKI,Pairs,IPC_geomean_speedup,IPC_geomean_speedup_pct,IPC_mean_delta,MPKI_mean_delta,MPKI_mean_reduction,MPKI_mean_reduction_pct
compress,tage192,koizumi,50PercIPC,50PercMPKI,8,1.0129377966068682,1.2937796606868224,0.06118750000000006,-0.21809999999999993,0.09170177033589805,9.170177033589805
compress,tage192,seznec,50PercIPC,50PercMPKI,8,1.0024364014260172,0.24364014260171984,0.008437499999999987,-0.0593999999999999,0.013983590373027086,1.3983590373027086
fp,tage192,koizumi,50PercIPC,50PercMPKI,14,1.0229414497717468,2.2941449771746836,0.07592857142857141,-0.49922142857142865,0.07392803615444987,7.392803615444987
fp,tage192,seznec,50PercIPC,50PercMPKI,14,1.003137397171616,0.31373971716159854,0.014657142857142822,-0.04126428571428573,0.02330806926820289,2.330806926820289
infra,tage192,koizumi,50PercIPC,50PercMPKI,16,1.0097221436899104,0.9722143689910423,0.035025,-0.20010624999999993,0.14524404729502274,14.524404729502274
infra,tage192,seznec,50PercIPC,50PercMPKI,16,1.0026533648879614,0.2653364887961418,0.006281249999999974,-0.03666249999999998,-0.01452905413524163,-1.452905413524163
int,tage192,koizumi,50PercIPC,50PercMPKI,37,1.0143846598666282,1.438465986662818,0.03624864864864872,-0.25762432432432425,0.053916222673538496,5.391622267353849
int,tage192,seznec,50PercIPC,50PercMPKI,37,1.0062161539847618,0.621615398476183,0.020062162162162226,-0.11739459459459475,0.029614990427157897,2.9614990427157895
media,tage192,koizumi,50PercIPC,50PercMPKI,4,1.0037262654376256,0.37262654376255533,0.02412499999999973,-0.032775000000000026,0.03634826890669682,3.634826890669682
media,tage192,seznec,50PercIPC,50PercMPKI,4,1.0039242545851894,0.3924254585189413,0.025149999999999784,-0.019525000000000015,0.02236045915420279,2.236045915420279
web,tage192,koizumi,50PercIPC,50PercMPKI,26,1.0062279036965363,0.6227903696536252,0.034480769230769225,-0.09889615384615381,0.014544715326813677,1.4544715326813678
web,tage192,seznec,50PercIPC,50PercMPKI,26,1.0004577729200417,0.04577729200416769,0.004223076923076911,-0.027557692307692252,0.007726444912474766,0.7726444912474766
ALL,tage192,koizumi,50PercIPC,50PercMPKI,105,1.0122644516800194,1.226445168001944,0.04235333333333335,-0.23019142857142855,0.0629615937010925,6.29615937010925
ALL,tage192,seznec,50PercIPC,50PercMPKI,105,1.003459029531677,0.34590295316769826,0.01262761904761905,-0.06454952380952385,0.015160008349725605,1.5160008349725604
