Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,264.65728521347046,30000052,6806590,4.4075,1619852,96751,0.2380,0.0142,5.9728%,3.2250,3031175,31.3297,101.0390,15000052,3428948,4.3745,807780,49670,0.2356,0.0145,6.1490%,3.3113,1553194,31.2703,103.5459
fp,fp_10_trace,270.7881956100464,Pass,563.88503241539,40000016,6861846,5.8293,3492402,81864,0.5090,0.0119,2.3441%,2.0466,1794712,21.9231,44.8678,20000016,3370649,5.9336,1748758,39169,0.5188,0.0116,2.2398%,1.9584,861430,21.9926,43.0715
fp,fp_11_trace,297.7953281402588,Pass,578.8711786270142,40000016,7597494,5.2649,3526510,26900,0.4642,0.0035,0.7628%,0.6725,589227,21.9043,14.7307,20000016,3667963,5.4526,1776440,13011,0.4843,0.0035,0.7324%,0.6505,279092,21.4505,13.9546
fp,fp_12_trace,48.495734214782715,Pass,461.5918629169464,40000016,8008260,4.9948,4420257,44705,0.5520,0.0056,1.0114%,1.1176,2859791,63.9703,71.4947,20000016,3885274,5.1476,2222665,19260,0.5721,0.0050,0.8665%,0.9630,1267666,65.8186,63.3832
fp,fp_13_trace,84.63656806945801,Pass,401.4764754772186,40000016,14998303,2.6670,6454282,494513,0.4303,0.0330,7.6618%,12.3628,10459491,21.1511,261.4872,20000016,7336263,2.7262,3233671,246463,0.4408,0.0336,7.6218%,12.3231,5122499,20.7840,256.1247
fp,fp_1_trace,42.69381523132324,Pass,260.8218369483948,30000052,30360034,0.9881,5950800,466438,0.1960,0.0154,7.8382%,15.5479,26656769,57.1497,888.5574,15000052,15178457,0.9882,2965791,233973,0.1954,0.0154,7.8891%,15.5981,13336204,56.9989,889.0772
fp,fp_2_trace,113.98153591156006,Pass,366.7126886844635,30000052,6207381,4.8330,2471756,76552,0.3982,0.0123,3.0971%,2.5517,2690171,35.1417,89.6722,15000052,3061669,4.8993,1232306,38983,0.4025,0.0127,3.1634%,2.5989,1350326,34.6388,90.0214
fp,fp_3_trace,223.02585411071777,Pass,420.3415627479553,30000052,12710513,2.3603,1539997,58840,0.1212,0.0046,3.8208%,1.9613,6573701,111.7216,219.1230,15000052,6342360,2.3651,770204,29821,0.1214,0.0047,3.8718%,1.9881,3313278,111.1055,220.8844
fp,fp_4_trace,106.30326175689697,Pass,376.0524265766144,30000052,6545646,4.5832,2573337,17731,0.3931,0.0027,0.6890%,0.5910,1023098,57.7011,34.1032,15000052,2609227,5.7488,1285217,6793,0.4926,0.0026,0.5285%,0.4529,287239,42.2846,19.1492
fp,fp_5_trace,332.9483413696289,Pass,584.1170847415924,40000016,7567983,5.2854,740391,37333,0.0978,0.0049,5.0423%,0.9333,1283932,34.3913,32.0983,20000016,3749398,5.3342,370890,18559,0.0989,0.0049,5.0039%,0.9279,641887,34.5863,32.0943
fp,fp_6_trace,63.58891201019287,Pass,425.8754267692566,40000016,5793535,6.9043,7034423,38683,1.2142,0.0067,0.5499%,0.9671,1454138,37.5911,36.3534,20000016,2801954,7.1379,3515104,17702,1.2545,0.0063,0.5036%,0.8851,670018,37.8498,33.5009
fp,fp_7_trace,159.0718936920166,Pass,515.971141576767,40000016,7762790,5.1528,4716883,41334,0.6076,0.0053,0.8763%,1.0333,1807178,43.7213,45.1794,20000016,3640600,5.4936,2394520,17112,0.6577,0.0047,0.7146%,0.8556,745436,43.5622,37.2718
fp,fp_8_trace,211.10272789001465,Pass,501.80343437194824,40000016,12888230,3.1036,2322129,296965,0.1802,0.0230,12.7885%,7.4241,6829891,22.9990,170.7472,20000016,7156077,2.7948,1347173,209749,0.1883,0.0293,15.5696%,10.4874,4756870,22.6789,237.8433
fp,fp_9_trace,143.53112411499023,Pass,518.5674118995667,40000016,16223924,2.4655,5012816,166930,0.3090,0.0103,3.3301%,4.1732,11393225,68.2515,284.8305,20000016,7713372,2.5929,2500178,88328,0.3241,0.0115,3.5329%,4.4164,5379143,60.8996,268.9569
