Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,424.8285868167877,40000016,8835568,4.5272,5140781,50457,0.5818,0.0057,0.9815%,1.2614,1467923,29.0926,36.6981,20000016,4394763,4.5509,2582400,25983,0.5876,0.0059,1.0062%,1.2991,779631,30.0054,38.9815
infra,infra_10_trace,117.67702960968018,Pass,472.7721817493439,50000052,18274725,2.7360,6548159,259898,0.3583,0.0142,3.9690%,5.1980,12987308,49.9708,259.7459,25000052,6258309,3.9947,3150015,114254,0.5033,0.0183,3.6271%,4.5702,4002814,35.0343,160.1122
infra,infra_11_trace,209.36411476135254,Pass,504.4177005290985,50000052,18259526,2.7383,7754708,50974,0.4247,0.0028,0.6573%,1.0195,3783873,74.2314,75.6774,25000052,9181958,2.7227,3881908,24024,0.4228,0.0026,0.6189%,0.9610,2149663,89.4798,85.9863
infra,infra_12_trace,207.57365608215332,Pass,501.5257022380829,50000052,17461482,2.8634,7862103,50270,0.4503,0.0029,0.6394%,1.0054,3338454,66.4105,66.7690,25000052,8311681,3.0078,3927069,23398,0.4725,0.0028,0.5958%,0.9359,1628930,69.6183,65.1571
infra,infra_13_trace,139.63556957244873,Pass,466.63987040519714,50000052,20312482,2.4615,6532412,202799,0.3216,0.0100,3.1045%,4.0560,13505892,66.5974,270.1176,25000052,9593301,2.6060,3378036,82321,0.3521,0.0086,2.4369%,3.2928,5082292,61.7375,203.2913
infra,infra_14_trace,118.4549331665039,Pass,472.7052686214447,50000052,17801216,2.8088,6536492,262426,0.3672,0.0147,4.0148%,5.2485,12689588,48.3549,253.7915,25000052,6231567,4.0118,3156210,113431,0.5065,0.0182,3.5939%,4.5372,3981471,35.1004,159.2585
infra,infra_15_trace,101.22027969360352,Pass,461.8212378025055,50000052,34255021,1.4596,6957507,416466,0.2031,0.0122,5.9859%,8.3293,29725633,71.3759,594.5120,25000052,6306560,3.9641,3466846,141303,0.5497,0.0224,4.0758%,5.6521,4025667,28.4896,161.0263
infra,infra_1_trace,175.13615703582764,Pass,398.5491816997528,37799521,8204503,4.6072,4337669,14401,0.5287,0.0018,0.3320%,0.3810,609190,42.3019,16.1163,19799521,3730747,5.3071,2263258,3935,0.6067,0.0011,0.1739%,0.1987,128167,32.5710,6.4732
infra,infra_2_trace,221.61112022399902,Pass,787.0794303417206,47546686,10603594,4.4840,5818731,20805,0.5488,0.0020,0.3576%,0.4376,683455,32.8505,14.3744,24546686,4283777,5.7302,2997214,5160,0.6997,0.0012,0.1722%,0.2102,107043,20.7448,4.3608
infra,infra_3_trace,83.57435989379883,Pass,434.85593914985657,40000016,8054513,4.9662,5433078,41353,0.6745,0.0051,0.7611%,1.0338,1073619,25.9623,26.8405,20000016,3992771,5.0091,2737308,18992,0.6856,0.0048,0.6938%,0.9496,505002,26.5902,25.2501
infra,infra_4_trace,84.87091732025146,Pass,467.26769518852234,40000016,23884479,1.6747,5988066,97422,0.2507,0.0041,1.6269%,2.4355,12166115,124.8806,304.1528,20000016,11941328,1.6749,2971304,49135,0.2488,0.0041,1.6537%,2.4567,6099745,124.1426,304.9870
infra,infra_5_trace,58.871103286743164,Pass,488.5959439277649,40000016,34474876,1.1603,7268207,87997,0.2108,0.0026,1.2107%,2.1999,26293455,298.7994,657.3361,20000016,22156484,0.9027,3539219,62747,0.1597,0.0028,1.7729%,3.1373,18318316,291.9393,915.9151
infra,infra_6_trace,168.09687328338623,Pass,691.6687459945679,64718349,15365455,4.2119,9187928,80751,0.5980,0.0053,0.8789%,1.2477,3120906,38.6485,48.2229,32718349,7712873,4.2420,5004718,38503,0.6489,0.0050,0.7693%,1.1768,1767569,45.9073,54.0238
infra,infra_7_trace,65.31903553009033,Pass,492.82330298423767,40000016,21762591,1.8380,6716982,58127,0.3086,0.0027,0.8654%,1.4532,8028931,138.1274,200.7232,20000016,11189403,1.7874,3345402,16293,0.2990,0.0015,0.4870%,0.8146,3404954,208.9826,170.2476
infra,infra_8_trace,54.09443473815918,Pass,518.2137327194214,40000016,24552128,1.6292,7460282,50083,0.3039,0.0020,0.6713%,1.2521,15867871,316.8315,396.6966,20000016,12243364,1.6335,3730712,24867,0.3047,0.0020,0.6665%,1.2433,7891096,317.3320,394.5545
infra,infra_9_trace,141.69822597503662,Pass,496.6033537387848,50000052,29128239,1.7165,7203244,227242,0.2473,0.0078,3.1547%,4.5448,19539267,85.9844,390.7849,25000052,17203714,1.4532,3405201,170975,0.1979,0.0099,5.0210%,6.8390,14593534,85.3548,583.7401
