Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,659.8889846801758,40000041,14740978,2.7135,6223265,204777,0.4222,0.0139,3.2905%,5.1194,10071043,49.1805,251.7758,20000041,6533127,3.0613,3076555,99510,0.4709,0.0152,3.2345%,4.9755,4306025,43.2723,215.3008
int,int_10_trace,204.85591316223145,Pass,963.8808162212372,60000052,9677825,6.1997,7032592,32290,0.7267,0.0033,0.4591%,0.5382,882900,27.3428,14.7150,30000052,4465793,6.7177,3499163,15015,0.7835,0.0034,0.4291%,0.5005,345531,23.0124,11.5177
int,int_11_trace,203.19092559814453,Pass,894.4248154163361,60000052,16501891,3.6360,4130584,250004,0.2503,0.0152,6.0525%,4.1667,9082854,36.3308,151.3808,30000052,8245549,3.6383,2064453,126002,0.2504,0.0153,6.1034%,4.2001,4573613,36.2979,152.4535
int,int_12_trace,204.59925079345703,Pass,1056.5527658462524,59999603,18445825,3.2527,6357220,27416,0.3446,0.0015,0.4313%,0.4569,1014281,36.9960,16.9048,30999603,4955215,6.2560,4522132,25988,0.9126,0.0052,0.5747%,0.8383,927224,35.6789,29.9108
int,int_13_trace,32.30572509765625,Pass,670.0210592746735,40000052,6222926,6.4279,4243961,36135,0.6820,0.0058,0.8514%,0.9034,1072686,29.6855,26.8171,20000052,3043260,6.5719,2111572,16515,0.6939,0.0054,0.7821%,0.8257,508068,30.7640,25.4033
int,int_14_trace,177.29002475738525,Pass,733.2122001647949,39999640,6999435,5.7147,7635435,16501,1.0909,0.0024,0.2161%,0.4125,410773,24.8938,10.2694,20999640,3398829,6.1785,3974167,6834,1.1693,0.0020,0.1720%,0.3254,155743,22.7894,7.4165
int,int_15_trace,98.1560001373291,Pass,1016.6221356391907,70000157,18516388,3.7804,9192864,34147,0.4965,0.0018,0.3715%,0.4878,1871688,54.8127,26.7383,35000157,9321163,3.7549,4669511,32353,0.5010,0.0035,0.6929%,0.9244,1499047,46.3341,42.8297
int,int_16_trace,128.2670030593872,Pass,739.5725030899048,40000031,17368338,2.3030,6733574,232300,0.3877,0.0134,3.4499%,5.8075,5557365,23.9232,138.9340,20000031,7229917,2.7663,3364149,116421,0.4653,0.0161,3.4606%,5.8210,2655271,22.8075,132.7633
int,int_17_trace,128.60758018493652,Pass,744.1829373836517,39999987,15585196,2.5665,6659971,198087,0.4273,0.0127,2.9743%,4.9522,4747407,23.9663,118.6852,20999987,6104404,3.4401,3432362,87294,0.5623,0.0143,2.5433%,4.1569,2015001,23.0829,95.9525
int,int_18_trace,108.31880569458008,Pass,851.011025428772,39999864,10740679,3.7241,9457814,30644,0.8806,0.0029,0.3240%,0.7661,1421609,46.3911,35.5403,20999864,5107127,4.1119,4985263,12246,0.9761,0.0024,0.2456%,0.5831,528800,43.1814,25.1811
int,int_19_trace,184.28955841064453,Pass,724.6972575187683,40000052,7977246,5.0143,5852871,31713,0.7337,0.0040,0.5418%,0.7928,1362233,42.9550,34.0558,20000052,3753838,5.3279,2929049,11855,0.7803,0.0032,0.4047%,0.5927,551954,46.5588,27.5976
int,int_1_trace,92.84952068328857,Pass,541.5218632221222,30000052,18780210,1.5974,5301134,346381,0.2823,0.0184,6.5341%,11.5460,14828892,42.8109,494.2955,15000052,8942968,1.6773,2642836,171536,0.2955,0.0192,6.4906%,11.4357,6996359,40.7865,466.4223
int,int_20_trace,187.00185585021973,Pass,959.2964606285095,60000051,16891442,3.5521,9561405,147697,0.5661,0.0087,1.5447%,2.4616,4829331,32.6976,80.4888,30000051,6881303,4.3596,4877083,67743,0.7087,0.0098,1.3890%,2.2581,1921740,28.3681,64.0579
int,int_21_trace,91.63193035125732,Pass,695.4370942115784,40000052,45754152,0.8742,9059172,952930,0.1980,0.0208,10.5190%,23.8232,40852200,42.8701,1021.3037,20000052,22531540,0.8876,4504449,488530,0.1999,0.0217,10.8455%,24.4264,20049394,41.0403,1002.4671
int,int_22_trace,96.68442058563232,Pass,802.837783575058,40000052,22297469,1.7939,6671960,199676,0.2992,0.0090,2.9928%,4.9919,14870503,74.4732,371.7621,20000052,10922475,1.8311,3314359,97776,0.3034,0.0090,2.9501%,4.8888,7242945,74.0769,362.1463
int,int_23_trace,182.35865116119385,Pass,752.2131781578064,40000052,18454044,2.1675,5329093,137062,0.2888,0.0074,2.5720%,3.4265,6226498,45.4283,155.6622,20000052,8570871,2.3335,2669216,65812,0.3114,0.0077,2.4656%,3.2906,2636562,40.0620,131.8278
int,int_24_trace,145.24023818969727,Pass,840.8529224395752,40000051,14591298,2.7414,8385203,22823,0.5747,0.0016,0.2722%,0.5706,3325488,145.7078,83.1371,20000051,6927581,2.8870,4599578,9562,0.6640,0.0014,0.2079%,0.4781,1458440,152.5246,72.9218
int,int_25_trace,169.04896354675293,Pass,720.3701906204224,40000052,7681905,5.2070,2766410,52757,0.3601,0.0069,1.9071%,1.3189,1995603,37.8263,49.8900,20000052,4236618,4.7208,1541724,45802,0.3639,0.0108,2.9708%,2.2901,1526964,33.3384,76.3480
int,int_26_trace,197.17267227172852,Pass,709.8923087120056,40000052,6800465,5.8820,2130479,51842,0.3133,0.0076,2.4333%,1.2960,1783671,34.4059,44.5917,20000052,3186833,6.2758,1067816,23654,0.3351,0.0074,2.2152%,1.1827,843524,35.6609,42.1761
int,int_27_trace,219.70562553405762,Pass,719.5377571582794,40000052,6357248,6.2920,1891315,33921,0.2975,0.0053,1.7935%,0.8480,1125433,33.1781,28.1358,20000052,2942691,6.7965,940632,14182,0.3197,0.0048,1.5077%,0.7091,492314,34.7140,24.6156
