Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,259.8992033004761,30000052,6805679,4.4081,1619852,96566,0.2380,0.0142,5.9614%,3.2189,3025124,31.3270,100.8373,15000052,3428869,4.3746,807780,49577,0.2356,0.0145,6.1374%,3.3051,1550467,31.2739,103.3641
fp,fp_10_trace,270.7881956100464,Pass,555.9078185558319,40000016,6801075,5.8814,3492402,79027,0.5135,0.0116,2.2628%,1.9757,1728872,21.8770,43.2218,20000016,3342187,5.9841,1748758,37948,0.5232,0.0114,2.1700%,1.8974,831903,21.9222,41.5951
fp,fp_11_trace,297.7953281402588,Pass,565.9903614521027,40000016,7527823,5.3136,3526510,22584,0.4685,0.0030,0.6404%,0.5646,501529,22.2073,12.5382,20000016,3636246,5.5002,1776440,11079,0.4885,0.0030,0.6237%,0.5539,237501,21.4370,11.8750
fp,fp_12_trace,48.495734214782715,Pass,454.95034074783325,40000016,7936878,5.0398,4420257,41175,0.5569,0.0052,0.9315%,1.0294,2768141,67.2287,69.2035,20000016,3852396,5.1916,2222665,18091,0.5770,0.0047,0.8139%,0.9045,1227491,67.8509,61.3745
fp,fp_13_trace,84.63656806945801,Pass,399.1485826969147,40000016,14923711,2.6803,6454282,488895,0.4325,0.0328,7.5747%,12.2224,10380957,21.2335,259.5238,20000016,7296870,2.7409,3233671,243736,0.4432,0.0334,7.5374%,12.1868,5082926,20.8542,254.1461
fp,fp_1_trace,42.69381523132324,Pass,257.34763526916504,30000052,30108628,0.9964,5950800,447969,0.1976,0.0149,7.5279%,14.9323,26386222,58.9019,879.5392,15000052,15052917,0.9965,2965791,224725,0.1970,0.0149,7.5772%,14.9816,13202420,58.7492,880.1583
fp,fp_2_trace,113.98153591156006,Pass,361.012326002121,30000052,6142445,4.8841,2471756,72734,0.4024,0.0118,2.9426%,2.4245,2619506,36.0149,87.3167,15000052,3025568,4.9578,1232306,36837,0.4073,0.0122,2.9893%,2.4558,1311156,35.5935,87.4101
fp,fp_3_trace,223.02585411071777,Pass,418.2377004623413,30000052,12652691,2.3710,1539997,54698,0.1217,0.0043,3.5518%,1.8233,6494551,118.7347,216.4847,15000052,6310653,2.3769,770204,27713,0.1220,0.0044,3.5981%,1.8475,3283934,118.4980,218.9282
fp,fp_4_trace,106.30326175689697,Pass,366.6006474494934,30000052,6439055,4.6591,2573337,15356,0.3996,0.0024,0.5967%,0.5119,872534,56.8204,29.0844,15000052,2602061,5.7647,1285217,6226,0.4939,0.0024,0.4844%,0.4151,274117,44.0278,18.2744
fp,fp_5_trace,332.9483413696289,Pass,585.4615409374237,40000016,7564370,5.2880,740391,37001,0.0979,0.0049,4.9975%,0.9250,1278461,34.5521,31.9615,20000016,3746266,5.3387,370890,18373,0.0990,0.0049,4.9538%,0.9186,637788,34.7133,31.8894
fp,fp_6_trace,63.58891201019287,Pass,412.8791527748108,40000016,5742217,6.9660,7034423,36490,1.2250,0.0064,0.5187%,0.9122,1399155,38.3435,34.9789,20000016,2789821,7.1689,3515104,17192,1.2600,0.0062,0.4891%,0.8596,657561,38.2481,32.8780
fp,fp_7_trace,159.0718936920166,Pass,504.4608736038208,40000016,7713169,5.1859,4716883,39219,0.6115,0.0051,0.8315%,0.9805,1751473,44.6588,43.7868,20000016,3636070,5.5004,2394520,16563,0.6585,0.0046,0.6917%,0.8281,740254,44.6932,37.0127
fp,fp_8_trace,211.10272789001465,Pass,502.8582787513733,40000016,10785121,3.7088,2322129,147500,0.2153,0.0137,6.3519%,3.6875,4624569,31.3530,115.6142,20000016,5644541,3.5432,1347173,101477,0.2387,0.0180,7.5326%,5.0738,3173260,31.2707,158.6629
fp,fp_9_trace,143.53112411499023,Pass,517.6322009563446,40000016,16111749,2.4827,5012816,163134,0.3111,0.0101,3.2543%,4.0783,11252988,68.9800,281.3246,20000016,7665587,2.6091,2500178,86192,0.3262,0.0112,3.4474%,4.3096,5322396,61.7505,266.1196
