Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,416.1821551322937,40000016,8732632,4.5805,5140781,36392,0.5887,0.0042,0.7079%,0.9098,1368529,37.6052,34.2132,20000016,4341940,4.6062,2582400,18179,0.5948,0.0042,0.7040%,0.9089,728537,40.0757,36.4268
infra,infra_10_trace,117.67702960968018,Pass,467.82102704048157,50000052,18120140,2.7594,6548159,250784,0.3614,0.0138,3.8298%,5.0157,12825586,51.1420,256.5115,25000052,6149282,4.0655,3150015,107786,0.5123,0.0175,3.4218%,4.3114,3889741,36.0876,155.5893
infra,infra_11_trace,209.36411476135254,Pass,489.66399216651917,50000052,18209515,2.7458,7754708,48642,0.4259,0.0027,0.6273%,0.9728,3741765,76.9246,74.8352,25000052,9174910,2.7248,3881908,23541,0.4231,0.0026,0.6064%,0.9416,2154903,91.5383,86.1959
infra,infra_12_trace,207.57365608215332,Pass,492.5817620754242,50000052,17403690,2.8730,7862103,47624,0.4517,0.0027,0.6057%,0.9525,3278006,68.8310,65.5601,25000052,8297791,3.0129,3927069,22650,0.4733,0.0027,0.5768%,0.9060,1624880,71.7386,64.9951
infra,infra_13_trace,139.63556957244873,Pass,458.1988694667816,50000052,20101636,2.4874,6532412,191733,0.3250,0.0095,2.9351%,3.8347,13288020,69.3048,265.7601,25000052,9508221,2.6293,3378036,78012,0.3553,0.0082,2.3094%,3.1205,4995831,64.0393,199.8328
infra,infra_14_trace,118.4549331665039,Pass,468.3400068283081,50000052,17624387,2.8370,6536492,253167,0.3709,0.0144,3.8731%,5.0633,12505981,49.3981,250.1194,25000052,6117851,4.0864,3156210,107271,0.5159,0.0175,3.3987%,4.2908,3864252,36.0233,154.5698
infra,infra_15_trace,101.22027969360352,Pass,458.08687376976013,50000052,34158905,1.4637,6957507,408379,0.2037,0.0120,5.8696%,8.1676,29629689,72.5544,592.5932,25000052,6174237,4.0491,3466846,134438,0.5615,0.0218,3.8778%,5.3775,3888834,28.9266,155.5530
infra,infra_1_trace,175.13615703582764,Pass,415.3098032474518,37799521,8165750,4.6290,4337669,11166,0.5312,0.0014,0.2574%,0.2954,572437,51.2661,15.1440,19799521,3716626,5.3273,2263258,2786,0.6090,0.0007,0.1231%,0.1407,113562,40.7617,5.7356
infra,infra_2_trace,221.61112022399902,Pass,777.4802861213684,47546686,10496113,4.5299,5818731,14457,0.5544,0.0014,0.2485%,0.3041,574138,39.7135,12.0752,24546686,4235508,5.7955,2997214,2267,0.7076,0.0005,0.0756%,0.0924,55044,24.2805,2.2424
infra,infra_3_trace,83.57435989379883,Pass,410.2151036262512,40000016,7946526,5.0336,5433078,27847,0.6837,0.0035,0.5125%,0.6962,951363,34.1639,23.7841,20000016,3943157,5.0721,2737308,12475,0.6942,0.0032,0.4557%,0.6237,450383,36.1028,22.5191
infra,infra_4_trace,84.87091732025146,Pass,450.6905589103699,40000016,23474451,1.7040,5988066,80398,0.2551,0.0034,1.3426%,2.0099,11665589,145.0980,291.6396,20000016,11699777,1.7094,2971304,39596,0.2540,0.0034,1.3326%,1.9798,5777223,145.9042,288.8609
infra,infra_5_trace,58.871103286743164,Pass,476.9698190689087,40000016,34366749,1.1639,7268207,79806,0.2115,0.0023,1.0980%,1.9951,26169827,327.9180,654.2454,20000016,22059423,0.9066,3539219,54643,0.1604,0.0025,1.5439%,2.7321,18214417,333.3349,910.7201
infra,infra_6_trace,168.09687328338623,Pass,663.6716446876526,64718349,15287094,4.2335,9187928,74973,0.6010,0.0049,0.8160%,1.1585,3027462,40.3807,46.7790,32718349,7688474,4.2555,5004718,36371,0.6509,0.0047,0.7267%,1.1116,1733807,47.6700,52.9919
infra,infra_7_trace,65.31903553009033,Pass,477.59781312942505,40000016,21719239,1.8417,6716982,47656,0.3093,0.0022,0.7095%,1.1914,8082036,169.5912,202.0508,20000016,11154724,1.7930,3345402,13110,0.2999,0.0012,0.3919%,0.6555,3383715,258.1018,169.1856
infra,infra_8_trace,54.09443473815918,Pass,493.66748452186584,40000016,24528898,1.6307,7460282,49863,0.3041,0.0020,0.6684%,1.2466,15824234,317.3542,395.6057,20000016,12234634,1.6347,3730712,24748,0.3049,0.0020,0.6634%,1.2374,7872813,318.1192,393.6403
infra,infra_9_trace,141.69822597503662,Pass,488.5298054218292,50000052,28871741,1.7318,7203244,224144,0.2495,0.0078,3.1117%,4.4829,19253949,85.8999,385.0786,25000052,17006924,1.4700,3405201,170006,0.2002,0.0100,4.9925%,6.8002,14367422,84.5113,574.6957
