Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,658.6775450706482,40000041,14485249,2.7614,6223265,193674,0.4296,0.0134,3.1121%,4.8418,9764743,50.4185,244.1183,20000041,6413242,3.1186,3076555,94280,0.4797,0.0147,3.0645%,4.7140,4168667,44.2158,208.4329
int,int_10_trace,204.85591316223145,Pass,934.1877751350403,60000052,9630209,6.2304,7032592,29798,0.7303,0.0031,0.4237%,0.4966,832235,27.9292,13.8706,30000052,4449342,6.7426,3499163,13868,0.7864,0.0031,0.3963%,0.4623,327520,23.6170,10.9173
int,int_11_trace,203.19092559814453,Pass,896.0643877983093,60000052,16085439,3.7301,4130584,233239,0.2568,0.0145,5.6466%,3.8873,8642130,37.0527,144.0354,30000052,8035514,3.7334,2064453,117591,0.2569,0.0146,5.6960%,3.9197,4350347,36.9956,145.0113
int,int_12_trace,204.59925079345703,Pass,1008.5756158828735,59999603,18386568,3.2632,6357220,25062,0.3458,0.0014,0.3942%,0.4177,975429,38.9206,16.2573,30999603,4921382,6.2990,4522132,23828,0.9189,0.0048,0.5269%,0.7687,895436,37.5792,28.8854
int,int_13_trace,32.30572509765625,Pass,652.6209681034088,40000052,6182018,6.4704,4243961,34055,0.6865,0.0055,0.8024%,0.8514,1012438,29.7295,25.3109,20000052,3022758,6.6165,2111572,15442,0.6986,0.0051,0.7313%,0.7721,480489,31.1157,24.0244
int,int_14_trace,177.29002475738525,Pass,719.5298082828522,39999640,6970145,5.7387,7635435,14853,1.0954,0.0021,0.1945%,0.3713,378794,25.5029,9.4699,20999640,3389008,6.1964,3974167,6308,1.1727,0.0019,0.1587%,0.3004,146101,23.1612,6.9573
int,int_15_trace,98.1560001373291,Pass,1038.8455011844635,70000157,18434981,3.7971,9192864,30223,0.4987,0.0016,0.3288%,0.4318,1758620,58.1881,25.1231,35000157,9250308,3.7837,4669511,28649,0.5048,0.0031,0.6135%,0.8185,1403359,48.9846,40.0958
int,int_16_trace,128.2670030593872,Pass,706.6241235733032,40000031,17282983,2.3144,6733574,228007,0.3896,0.0132,3.3861%,5.7002,5462379,23.9571,136.5594,20000031,7225409,2.7680,3364149,116542,0.4656,0.0161,3.4642%,5.8271,2648919,22.7293,132.4457
int,int_17_trace,128.60758018493652,Pass,716.0246834754944,39999987,15422090,2.5937,6659971,190269,0.4318,0.0123,2.8569%,4.7567,4582855,24.0862,114.5714,20999987,6044880,3.4740,3432362,84991,0.5678,0.0141,2.4762%,4.0472,1954821,23.0003,93.0868
int,int_18_trace,108.31880569458008,Pass,788.5985224246979,39999864,10601355,3.7731,9457814,25200,0.8921,0.0024,0.2664%,0.6300,1197915,47.5363,29.9480,20999864,5044956,4.1625,4985263,10096,0.9882,0.0020,0.2025%,0.4808,421849,41.7838,20.0882
int,int_19_trace,184.28955841064453,Pass,733.2200093269348,40000052,7938222,5.0389,5852871,30411,0.7373,0.0038,0.5196%,0.7603,1303611,42.8664,32.5902,20000052,3747703,5.3366,2929049,11670,0.7816,0.0031,0.3984%,0.5835,543955,46.6114,27.1977
int,int_1_trace,92.84952068328857,Pass,548.75377202034,30000052,17735515,1.6915,5301134,292535,0.2989,0.0165,5.5183%,9.7511,13731313,46.9390,457.7096,15000052,8421704,1.7811,2642836,144603,0.3138,0.0172,5.4715%,9.6402,6452159,44.6198,430.1424
int,int_20_trace,187.00185585021973,Pass,962.0459775924683,60000051,16726402,3.5871,9561405,139830,0.5716,0.0084,1.4624%,2.3305,4652217,33.2705,77.5369,30000051,6834915,4.3892,4877083,65666,0.7136,0.0096,1.3464%,2.1889,1873092,28.5245,62.4363
int,int_21_trace,91.63193035125732,Pass,694.8776414394379,40000052,39882864,1.0029,9059172,867369,0.2271,0.0217,9.5745%,21.6842,34883839,40.2180,872.0948,20000052,19698950,1.0153,4504449,444814,0.2287,0.0226,9.8750%,22.2406,17173441,38.6081,858.6698
int,int_22_trace,96.68442058563232,Pass,780.0238206386566,40000052,20605221,1.9413,6671960,156118,0.3238,0.0076,2.3399%,3.9029,13029720,83.4607,325.7426,20000052,10052661,1.9895,3314359,74098,0.3297,0.0074,2.2357%,3.7049,6283363,84.7980,314.1673
int,int_23_trace,182.35865116119385,Pass,747.8351027965546,40000052,18329716,2.1823,5329093,126702,0.2907,0.0069,2.3776%,3.1675,6018110,47.4981,150.4526,20000052,8498030,2.3535,2669216,60618,0.3141,0.0071,2.2710%,3.0309,2519387,41.5617,125.9690
int,int_24_trace,145.24023818969727,Pass,796.029477596283,40000051,14489441,2.7606,8385203,20508,0.5787,0.0014,0.2446%,0.5127,2172697,105.9439,54.3174,20000051,6878005,2.9078,4599578,8420,0.6687,0.0012,0.1831%,0.4210,898236,106.6789,44.9117
int,int_25_trace,169.04896354675293,Pass,713.4008948802948,40000052,7668606,5.2161,2766410,52928,0.3607,0.0069,1.9132%,1.3232,1986888,37.5394,49.6721,20000052,4227508,4.7309,1541724,46135,0.3647,0.0109,2.9924%,2.3067,1528895,33.1396,76.4446
int,int_26_trace,197.17267227172852,Pass,698.6097319126129,40000052,6739970,5.9348,2130479,48181,0.3161,0.0071,2.2615%,1.2045,1704815,35.3836,42.6203,20000052,3155170,6.3388,1067816,21802,0.3384,0.0069,2.0417%,1.0901,801211,36.7494,40.0604
int,int_27_trace,219.70562553405762,Pass,721.5185055732727,40000052,6331171,6.3180,1891315,31279,0.2987,0.0049,1.6538%,0.7820,1084884,34.6841,27.1221,20000052,2934960,6.8144,940632,13151,0.3205,0.0045,1.3981%,0.6575,478002,36.3472,23.9000
int,int_28_trace,185.9219560623169,Pass,628.4206185340881,40000052,8205452,4.8748,4006233,129153,0.4882,0.0157,3.2238%,3.2288,3402428,26.3442,85.0606,20000052,3967076,5.0415,1994428,59320,0.5027,0.0150,2.9743%,2.9660,1596695,26.9166,79.8345
int,int_29_trace,181.88746547698975,Pass,681.9031875133514,40000052,15229346,2.6265,4048870,456390,0.2659,0.0300,11.2720%,11.4097,11343056,24.8539,283.5760,20000052,7323366,2.7310,2031315,219323,0.2774,0.0299,10.7971%,10.9661,5410980,24.6713,270.5483
int,int_2_trace,94.08823490142822,Pass,548.3858523368835,30000052,17861066,1.6796,5366311,276963,0.3004,0.0155,5.1611%,9.2321,13828364,49.9286,460.9447,15000052,8301872,1.8068,2681980,135411,0.3231,0.0163,5.0489%,9.0274,6319035,46.6656,421.2675
int,int_30_trace,182.9177484512329,Pass,671.0645380020142,40000052,15466612,2.5862,4219863,470276,0.2728,0.0304,11.1443%,11.7569,11537528,24.5335,288.4378,20000052,7449962,2.6846,2099953,224784,0.2819,0.0302,10.7042%,11.2392,5512487,24.5235,275.6236
int,int_31_trace,118.0513105392456,Pass,672.1909785270691,40000052,4532102,8.8259,4773947,24103,1.0534,0.0053,0.5049%,0.6026,473709,19.6535,11.8427,20000052,2156327,9.2751,2359187,8252,1.0941,0.0038,0.3498%,0.4126,164640,19.9515,8.2320
int,int_32_trace,317.2076416015625,Pass,1247.5666525363922,110000052,84969082,1.2946,12636052,696448,0.1487,0.0082,5.5116%,6.3313,72757361,104.4692,661.4302,55000052,37342935,1.4728,6322521,342921,0.1693,0.0092,5.4238%,6.2349,31330787,91.3644,569.6501
int,int_33_trace,310.41816425323486,Pass,1257.4017720222473,110000052,52934793,2.0780,16062450,798212,0.3034,0.0151,4.9694%,7.2565,41200291,51.6157,374.5479,55000052,25597183,2.1487,7710997,408266,0.3012,0.0159,5.2946%,7.4230,19866069,48.6596,361.2009
int,int_34_trace,112.3776216506958,Pass,621.5917112827301,40000052,10962814,3.6487,6380286,110743,0.5820,0.0101,1.7357%,2.7686,5298921,47.8488,132.4729,20000052,4828182,4.1424,3101677,57364,0.6424,0.0119,1.8495%,2.8682,2421387,42.2109,121.0690
int,int_35_trace,119.88736820220947,Pass,646.2160048484802,40000048,11225068,3.5635,5671843,82060,0.5053,0.0073,1.4468%,2.0515,4927357,60.0458,123.1838,20000048,5396098,3.7064,2842811,37993,0.5268,0.0070,1.3365%,1.8996,2265574,59.6314,113.2784
int,int_36_trace,201.8018684387207,Pass,913.3218696117401,53761949,34476844,1.5594,7755130,159867,0.2249,0.0046,2.0614%,2.9736,8520634,53.2983,158.4882,27761949,14770600,1.8795,4116890,75145,0.2787,0.0051,1.8253%,2.7068,3680177,48.9743,132.5619
int,int_3_trace,96.88034057617188,Pass,693.5834987163544,40000052,6990890,5.7217,4722773,31040,0.6756,0.0044,0.6572%,0.7760,922011,29.7040,23.0502,20000052,3529838,5.6660,2249610,17314,0.6373,0.0049,0.7696%,0.8657,445678,25.7409,22.2838
int,int_4_trace,188.2430238723755,Pass,923.1543624401093,59999657,13278592,4.5185,7683892,215579,0.5787,0.0162,2.8056%,3.5930,4738078,21.9784,78.9684,30999657,6588709,4.7050,4061423,106160,0.6164,0.0161,2.6139%,3.4246,2294503,21.6136,74.0170
int,int_5_trace,138.47165870666504,Pass,438.7520160675049,30000052,6566252,4.5688,2565027,81175,0.3906,0.0124,3.1647%,2.7058,3007523,37.0499,100.2506,15000052,3269388,4.5880,1297750,39707,0.3969,0.0121,3.0597%,2.6471,1504357,37.8864,100.2901
int,int_6_trace,130.25432968139648,Pass,405.6610543727875,30000052,7516644,3.9911,3119970,82282,0.4151,0.0109,2.6373%,2.7427,3824908,46.4854,127.4967,15000052,3703048,4.0507,1567043,39867,0.4232,0.0108,2.5441%,2.6578,1888144,47.3611,125.8758
