Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,556.0748734474182,39999493,20108138,1.9892,11904941,52316,0.5920,0.0026,0.4394%,1.3079,6747062,128.9675,168.6787,20999493,10136110,2.0718,6370198,19767,0.6285,0.0020,0.3103%,0.9413,2678431,135.5001,127.5474
web,web_10_trace,67.32332420349121,Pass,292.3558793067932,19999796,11045711,1.8106,2621960,56637,0.2374,0.0051,2.1601%,2.8319,1824782,32.2189,91.2400,10999796,3291844,3.3415,1436395,24291,0.4363,0.0074,1.6911%,2.2083,672071,27.6675,61.0985
web,web_11_trace,43.46553611755371,Pass,171.7904977798462,10001443,11471484,0.8719,1391369,46447,0.1213,0.0040,3.3382%,4.6440,1974061,42.5014,197.3776,5001443,5045010,0.9914,674449,23317,0.1337,0.0046,3.4572%,4.6621,916344,39.2994,183.2159
web,web_12_trace,61.48514461517334,Pass,270.52569818496704,15000009,9156506,1.6382,2254326,57834,0.2462,0.0063,2.5655%,3.8556,1953751,33.7820,130.2500,8000009,4250679,1.8821,1175254,36525,0.2765,0.0086,3.1078%,4.5656,1112002,30.4450,139.0001
web,web_13_trace,134.68522262573242,Pass,549.4541289806366,39999813,16825852,2.3773,4813533,116619,0.2861,0.0069,2.4227%,2.9155,3776939,32.3870,94.4239,20999813,7094184,2.9601,2687998,54182,0.3789,0.0076,2.0157%,2.5801,1908201,35.2184,90.8675
web,web_14_trace,235.48800468444824,Pass,747.5760016441345,70000043,19590476,3.5732,11059737,240552,0.5645,0.0123,2.1750%,3.4365,10426694,43.3449,148.9527,35000043,8462936,4.1357,5268168,93551,0.6225,0.0111,1.7758%,2.6729,4088229,43.7005,116.8064
web,web_15_trace,61.94837951660156,Pass,266.9405119419098,14999858,7900297,1.8986,2411251,76791,0.3052,0.0097,3.1847%,5.1194,2311235,30.0977,154.0838,7999858,3226886,2.4791,1229867,33777,0.3811,0.0105,2.7464%,4.2222,903897,26.7607,112.9891
web,web_16_trace,61.720746994018555,Pass,338.48075699806213,20000052,9911666,2.0178,1486259,31624,0.1500,0.0032,2.1278%,1.5812,1189099,37.6012,59.4548,10000052,6898970,1.4495,732871,22149,0.1062,0.0032,3.0222%,2.2149,823538,37.1817,82.3534
web,web_17_trace,54.710463523864746,Pass,261.3511562347412,15000021,6090066,2.4630,2215426,20914,0.3638,0.0034,0.9440%,1.3943,877686,41.9664,58.5123,8000021,2275184,3.5162,1069158,4824,0.4699,0.0021,0.4512%,0.6030,165808,34.3715,20.7259
web,web_18_trace,40.12125015258789,Pass,178.92914938926697,15000059,3882915,3.8631,1853795,39905,0.4774,0.0103,2.1526%,2.6603,1988860,49.8399,132.5901,8000059,1952556,4.0972,994147,19903,0.5092,0.0102,2.0020%,2.4879,998126,50.1495,124.7648
web,web_19_trace,46.80075454711914,Pass,270.51726150512695,15000016,9425841,1.5914,2562002,76286,0.2718,0.0081,2.9776%,5.0857,2350950,30.8176,156.7298,8000016,4285137,1.8669,1380363,49790,0.3221,0.0116,3.6070%,6.2237,1191659,23.9337,148.9571
web,web_1_trace,158.93916416168213,Pass,540.5870063304901,39999048,11925845,3.3540,5515292,126086,0.4625,0.0106,2.2861%,3.1522,4377126,34.7154,109.4308,20999048,4907632,4.2789,2909408,66048,0.5928,0.0135,2.2702%,3.1453,1872998,28.3581,89.1944
web,web_20_trace,91.22524166107178,Pass,275.90451645851135,20000004,10234892,1.9541,3186911,64715,0.3114,0.0063,2.0306%,3.2357,1994862,30.8253,99.7431,10000004,3742007,2.6724,1586755,18369,0.4240,0.0049,1.1576%,1.8369,574485,31.2747,57.4485
web,web_21_trace,37.0328950881958,Pass,258.98413348197937,15000054,5899162,2.5427,2614946,21858,0.4433,0.0037,0.8359%,1.4572,2009325,91.9263,133.9545,8000054,4717701,1.6958,1411368,17458,0.2992,0.0037,1.2370%,2.1822,1829945,104.8199,228.7416
web,web_22_trace,51.9125394821167,Pass,293.77832412719727,20000051,5898276,3.3908,2417352,63610,0.4098,0.0108,2.6314%,3.1805,2884055,45.3396,144.2024,10000051,2606113,3.8372,1222376,29688,0.4690,0.0114,2.4287%,2.9688,1392134,46.8921,139.2127
web,web_23_trace,60.17267894744873,Pass,206.7545371055603,20000047,6248821,3.2006,3286069,18863,0.5259,0.0030,0.5740%,0.9431,695822,36.8882,34.7910,10000047,4543002,2.2012,1544231,14593,0.3399,0.0032,0.9450%,1.4593,523217,35.8540,52.3215
web,web_24_trace,80.5669527053833,Pass,272.7132160663605,14999923,8309066,1.8052,1985890,24102,0.2390,0.0029,1.2137%,1.6068,778732,32.3098,51.9157,7999923,3984287,2.0079,1067447,11755,0.2679,0.0030,1.1012%,1.4694,363735,30.9430,45.4673
web,web_25_trace,46.08135795593262,Pass,154.54464316368103,14999989,7232110,2.0741,2548670,86101,0.3524,0.0119,3.3783%,5.7401,2986331,34.6840,199.0889,7999989,2965948,2.6973,1342253,51242,0.4526,0.0173,3.8176%,6.4053,1725638,33.6762,215.7050
web,web_2_trace,126.7424545288086,Pass,507.5890336036682,39999746,11853386,3.3745,5842811,151099,0.4929,0.0127,2.5861%,3.7775,4231966,28.0079,105.7998,20999746,5735061,3.6616,3176039,83270,0.5538,0.0145,2.6218%,3.9653,2475602,29.7298,117.8872
web,web_3_trace,134.2002592086792,Pass,464.20434617996216,39999981,12058575,3.3171,6018442,143071,0.4991,0.0119,2.3772%,3.5768,4375492,30.5827,109.3874,20999981,5483994,3.8293,3382696,64476,0.6168,0.0118,1.9061%,3.0703,2323822,36.0417,110.6583
