Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,268.827036857605,30000052,6805157,4.4084,1619852,97197,0.2380,0.0143,6.0004%,3.2399,3042874,31.3063,101.4290,15000052,3427858,4.3759,807780,49802,0.2357,0.0145,6.1653%,3.3201,1555799,31.2397,103.7196
fp,fp_10_trace,270.7881956100464,Pass,594.4050731658936,40000016,6803713,5.8791,3492402,78815,0.5133,0.0116,2.2568%,1.9704,1739955,22.0764,43.4989,20000016,3335337,5.9964,1748758,37356,0.5243,0.0112,2.1361%,1.8678,827886,22.1621,41.3943
fp,fp_11_trace,297.7953281402588,Pass,598.3938095569611,40000016,7556649,5.2934,3526510,24225,0.4667,0.0032,0.6869%,0.6056,536361,22.1408,13.4090,20000016,3644067,5.4884,1776440,11540,0.4875,0.0032,0.6496%,0.5770,247983,21.4890,12.3991
fp,fp_12_trace,48.495734214782715,Pass,479.84685468673706,40000016,7691701,5.2004,4420257,32293,0.5747,0.0042,0.7306%,0.8073,2444497,75.6974,61.1124,20000016,3738713,5.3494,2222665,14079,0.5945,0.0038,0.6334%,0.7039,1072338,76.1658,53.6169
fp,fp_13_trace,84.63656806945801,Pass,427.2702085971832,40000016,14776548,2.7070,6454282,478080,0.4368,0.0324,7.4072%,11.9520,10240269,21.4196,256.0066,20000016,7228503,2.7668,3233671,238778,0.4474,0.0330,7.3841%,11.9389,5012407,20.9919,250.6201
fp,fp_1_trace,42.69381523132324,Pass,280.4241328239441,30000052,30474668,0.9844,5950800,467568,0.1953,0.0153,7.8572%,15.5856,26774292,57.2629,892.4749,15000052,15228650,0.9850,2965791,234623,0.1948,0.0154,7.9110%,15.6415,13387425,57.0593,892.4919
fp,fp_2_trace,113.98153591156006,Pass,368.0898509025574,30000052,6194365,4.8431,2471756,76142,0.3990,0.0123,3.0805%,2.5381,2675334,35.1361,89.1776,15000052,3054164,4.9113,1232306,38680,0.4035,0.0127,3.1388%,2.5787,1341658,34.6861,89.4436
fp,fp_3_trace,223.02585411071777,Pass,440.3252680301666,30000052,12733259,2.3560,1539997,60874,0.1209,0.0048,3.9529%,2.0291,6664633,109.4824,222.1540,15000052,6358515,2.3590,770204,30913,0.1211,0.0049,4.0136%,2.0609,3372848,109.1078,224.8558
fp,fp_4_trace,106.30326175689697,Pass,382.9982900619507,30000052,6481355,4.6287,2573337,16371,0.3970,0.0025,0.6362%,0.5457,927806,56.6738,30.9268,15000052,2607276,5.7532,1285217,6485,0.4929,0.0025,0.5046%,0.4323,281174,43.3576,18.7449
fp,fp_5_trace,332.9483413696289,Pass,614.5424695014954,40000016,7568941,5.2848,740391,37207,0.0978,0.0049,5.0253%,0.9302,1284626,34.5265,32.1156,20000016,3751668,5.3310,370890,18534,0.0989,0.0049,4.9972%,0.9267,643020,34.6941,32.1510
fp,fp_6_trace,63.58891201019287,Pass,448.88902616500854,40000016,5800485,6.8960,7034423,39162,1.2127,0.0068,0.5567%,0.9790,1465165,37.4129,36.6291,20000016,2809190,7.1195,3515104,18027,1.2513,0.0064,0.5128%,0.9013,680066,37.7249,34.0033
fp,fp_7_trace,159.0718936920166,Pass,539.2199010848999,40000016,7779989,5.1414,4716883,41481,0.6063,0.0053,0.8794%,1.0370,1824864,43.9928,45.6216,20000016,3655077,5.4718,2394520,17200,0.6551,0.0047,0.7183%,0.8600,760493,44.2147,38.0246
fp,fp_8_trace,211.10272789001465,Pass,527.3044600486755,40000016,12156556,3.2904,2322129,267508,0.1910,0.0220,11.5199%,6.6877,6055660,22.6373,151.3914,20000016,6673314,2.9970,1347173,189421,0.2019,0.0284,14.0606%,9.4710,4252055,22.4476,212.6026
fp,fp_9_trace,143.53112411499023,Pass,561.7013671398163,40000016,16133360,2.4793,5012816,164022,0.3107,0.0102,3.2721%,4.1005,11305966,68.9296,282.6490,20000016,7676663,2.6053,2500178,86856,0.3257,0.0113,3.4740%,4.3428,5344933,61.5379,267.2464
