Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,429.14410376548767,40000016,8726185,4.5839,5140781,39428,0.5891,0.0045,0.7670%,0.9857,1316576,33.3919,32.9144,20000016,4331781,4.6170,2582400,19545,0.5962,0.0045,0.7569%,0.9772,694196,35.5178,34.7098
infra,infra_10_trace,117.67702960968018,Pass,488.16829204559326,50000052,18337405,2.7267,6548159,260857,0.3571,0.0142,3.9837%,5.2171,13063989,50.0810,261.2795,25000052,6283683,3.9786,3150015,114835,0.5013,0.0183,3.6455%,4.5934,4029295,35.0877,161.1715
infra,infra_11_trace,209.36411476135254,Pass,512.9112868309021,50000052,18227714,2.7431,7754708,50174,0.4254,0.0028,0.6470%,1.0035,3757870,74.8968,75.1573,25000052,9164349,2.7280,3881908,23744,0.4236,0.0026,0.6117%,0.9498,2129150,89.6711,85.1658
infra,infra_12_trace,207.57365608215332,Pass,513.4294412136078,50000052,17446094,2.8660,7862103,49732,0.4507,0.0029,0.6326%,0.9946,3315051,66.6583,66.3010,25000052,8304693,3.0104,3927069,23225,0.4729,0.0028,0.5914%,0.9290,1624104,69.9291,64.9640
infra,infra_13_trace,139.63556957244873,Pass,476.03786396980286,50000052,20335754,2.4587,6532412,202931,0.3212,0.0100,3.1065%,4.0586,13530716,66.6764,270.6140,25000052,9595817,2.6053,3378036,82506,0.3520,0.0086,2.4424%,3.3002,5085623,61.6394,203.4245
infra,infra_14_trace,118.4549331665039,Pass,491.9680814743042,50000052,17848134,2.8014,6536492,263422,0.3662,0.0148,4.0300%,5.2684,12749782,48.4006,254.9954,25000052,6250175,3.9999,3156210,113994,0.5050,0.0182,3.6117%,4.5598,4001303,35.1010,160.0518
infra,infra_15_trace,101.22027969360352,Pass,474.1349618434906,50000052,34281262,1.4585,6957507,416334,0.2030,0.0121,5.9840%,8.3267,29751293,71.4602,595.0252,25000052,6304332,3.9655,3466846,140789,0.5499,0.0223,4.0610%,5.6315,4023414,28.5776,160.9362
infra,infra_1_trace,175.13615703582764,Pass,408.255206823349,37799521,8161525,4.6314,4337669,11037,0.5315,0.0014,0.2544%,0.2920,550077,49.8394,14.5525,19799521,3716469,5.3275,2263258,2503,0.6090,0.0007,0.1106%,0.1264,108333,43.2813,5.4715
infra,infra_2_trace,221.61112022399902,Pass,817.4407105445862,47546686,10596790,4.4869,5818731,20390,0.5491,0.0019,0.3504%,0.4288,678329,33.2677,14.2666,24546686,4304494,5.7026,2997214,6283,0.6963,0.0015,0.2096%,0.2560,129350,20.5873,5.2696
infra,infra_3_trace,83.57435989379883,Pass,416.6989619731903,40000016,7962146,5.0238,5433078,32201,0.6824,0.0040,0.5927%,0.8050,961453,29.8579,24.0363,20000016,3942361,5.0731,2737308,13764,0.6943,0.0035,0.5028%,0.6882,443681,32.2349,22.1840
infra,infra_4_trace,84.87091732025146,Pass,477.8087487220764,40000016,22743797,1.7587,5988066,73244,0.2633,0.0032,1.2232%,1.8311,10297901,140.5972,257.4474,20000016,11315775,1.7674,2971304,34888,0.2626,0.0031,1.1742%,1.7444,5053670,144.8541,252.6833
infra,infra_5_trace,58.871103286743164,Pass,504.4226677417755,40000016,34447204,1.1612,7268207,83630,0.2110,0.0024,1.1506%,2.0907,26273246,314.1605,656.8309,20000016,22093619,0.9052,3539219,58332,0.1602,0.0026,1.6482%,2.9166,18252181,312.9017,912.6083
infra,infra_6_trace,168.09687328338623,Pass,689.6115734577179,64718349,15344828,4.2176,9187928,79371,0.5988,0.0052,0.8639%,1.2264,3111996,39.2082,48.0852,32718349,7720786,4.2377,5004718,38712,0.6482,0.0050,0.7735%,1.1832,1784147,46.0877,54.5305
infra,infra_7_trace,65.31903553009033,Pass,498.9499452114105,40000016,21685872,1.8445,6716982,48374,0.3097,0.0022,0.7202%,1.2093,7932952,163.9921,198.3237,20000016,11159734,1.7922,3345402,14709,0.2998,0.0013,0.4397%,0.7354,3336637,226.8432,166.8317
infra,infra_8_trace,54.09443473815918,Pass,524.1349351406097,40000016,24589950,1.6267,7460282,49937,0.3034,0.0020,0.6694%,1.2484,15907605,318.5535,397.6900,20000016,12254461,1.6321,3730712,24724,0.3044,0.0020,0.6627%,1.2362,7901698,319.5963,395.0846
infra,infra_9_trace,141.69822597503662,Pass,505.8709833621979,50000052,29208759,1.7118,7203244,227892,0.2466,0.0078,3.1637%,4.5578,19631627,86.1444,392.6321,25000052,17310372,1.4442,3405201,172160,0.1967,0.0099,5.0558%,6.8864,14715353,85.4749,588.6129
