CMD:bin/cbp.man traces/int/int_14_trace.gz
 (TAGE 1217581)  (LOOP 3648)  (SC 197568) 
 (TOTAL 1418797 bits 173.192993 KB) 
 TAGE Low Bank Used: 6
 TAGE High Bank Used: 15
 (Hard Branch Table 4559)  (Correlation Table 108576)  (Load Value Correlated Predictor Top 40041) 
 (Load Value Correlated Predictor TOTAL 18.698242 KB) 
 (Hard Branch Table 4559)  (Correlation Table 108576)  (Load Value Correlated Predictor Top 40041) 
 (Load Value Correlated Predictor TOTAL 18.698242 KB) 
[0, 0x80002928], 33554597
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x3088c4, 0xffff800008010c00], 288228177130504718
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x3088c4, 0xffff800008010c00], 288228177130504718
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x3088c4, 0xffff800008010c00], 288228177130504718
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x309d30, 0xffff800008010c00], 288228177130504637
[0x2ec410, 0xffff800008010c00], 288228177130506529
[0x2f3f50, 0xffff800008010c00], 288228177130506036
[0x2f3f60, 0xffff800008010c00], 288228177130506036
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x3088c4, 0xffff800008010c00], 288228177130504718
[0x3504b0, 0xffff800008010c00], 288228177130500127
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
[0x2ed7b0, 0xffff800008010c00], 288228177130506451
