Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,684.7502596378326,40000041,14450192,2.7681,6223265,186154,0.4307,0.0129,2.9913%,4.6538,9728799,52.2621,243.2197,20000041,6398319,3.1258,3076555,90640,0.4808,0.0142,2.9462%,4.5320,4154133,45.8311,207.7062
int,int_10_trace,204.85591316223145,Pass,964.6324853897095,60000052,9660331,6.2110,7032592,31442,0.7280,0.0033,0.4471%,0.5240,867610,27.5940,14.4602,30000052,4463723,6.7209,3499163,14770,0.7839,0.0033,0.4221%,0.4923,344599,23.3310,11.4866
int,int_11_trace,203.19092559814453,Pass,971.9882414340973,60000052,16189102,3.7062,4130584,239725,0.2551,0.0148,5.8037%,3.9954,8744122,36.4756,145.7352,30000052,8087437,3.7095,2064453,120826,0.2553,0.0149,5.8527%,4.0275,4401369,36.4273,146.7120
int,int_12_trace,204.59925079345703,Pass,1091.3193318843842,59999603,18306272,3.2775,6357220,21410,0.3473,0.0012,0.3368%,0.3568,866575,40.4752,14.4430,30999603,4822069,6.4287,4522132,20240,0.9378,0.0042,0.4476%,0.6529,785627,38.8156,25.3431
int,int_13_trace,32.30572509765625,Pass,684.2274036407471,40000052,6204477,6.4470,4243961,35457,0.6840,0.0057,0.8355%,0.8864,1032508,29.1200,25.8127,20000052,3037794,6.5837,2111572,16469,0.6951,0.0054,0.7799%,0.8234,489964,29.7507,24.4981
int,int_14_trace,177.29002475738525,Pass,719.1000261306763,39999640,6967456,5.7409,7635435,14769,1.0959,0.0021,0.1934%,0.3692,378956,25.6589,9.4740,20999640,3393111,6.1889,3974167,6541,1.1712,0.0019,0.1646%,0.3115,150692,23.0381,7.1759
int,int_15_trace,98.1560001373291,Pass,1182.36008477211,70000157,18486674,3.7865,9192864,32566,0.4973,0.0018,0.3543%,0.4652,1837007,56.4087,26.2429,35000157,9289368,3.7678,4669511,30818,0.5027,0.0033,0.6600%,0.8805,1461725,47.4309,41.7634
int,int_16_trace,128.2670030593872,Pass,832.9080617427826,40000031,17378783,2.3017,6733574,232105,0.3875,0.0134,3.4470%,5.8026,5560659,23.9575,139.0164,20000031,7266919,2.7522,3364149,118250,0.4629,0.0163,3.5150%,5.9125,2692281,22.7677,134.6138
int,int_17_trace,128.60758018493652,Pass,790.8289539813995,39999987,15522128,2.5770,6659971,194179,0.4291,0.0125,2.9156%,4.8545,4687597,24.1406,117.1900,20999987,6096960,3.4443,3432362,86760,0.5630,0.0142,2.5277%,4.1314,2006311,23.1248,95.5387
int,int_18_trace,108.31880569458008,Pass,983.087434053421,39999864,10721099,3.7309,9457814,31529,0.8822,0.0029,0.3334%,0.7882,1397320,44.3186,34.9331,20999864,5093844,4.1226,4985263,12692,0.9787,0.0025,0.2546%,0.6044,508930,40.0985,24.2349
