Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,765.2461483478546,39999493,19400668,2.0618,11904941,52627,0.6136,0.0027,0.4421%,1.3157,5876674,111.6665,146.9187,20999493,9701764,2.1645,6370198,19215,0.6566,0.0020,0.3016%,0.9150,2175220,113.2043,103.5844
web,web_10_trace,67.32332420349121,Pass,278.4511921405792,19999796,11051838,1.8096,2621960,57451,0.2372,0.0052,2.1911%,2.8726,1833810,31.9195,91.6914,10999796,3294916,3.3384,1436395,24642,0.4359,0.0075,1.7155%,2.2402,675610,27.4170,61.4202
web,web_11_trace,43.46553611755371,Pass,175.67977952957153,10001443,11476632,0.8715,1391369,47112,0.1212,0.0041,3.3860%,4.7105,1978449,41.9946,197.8164,5001443,5037223,0.9929,674449,23250,0.1339,0.0046,3.4473%,4.6487,907949,39.0516,181.5374
web,web_12_trace,61.48514461517334,Pass,162.46416807174683,15000009,9194859,1.6313,2254326,59932,0.2452,0.0065,2.6585%,3.9955,2005744,33.4670,133.7162,8000009,4264851,1.8758,1175254,37315,0.2756,0.0087,3.1751%,4.6644,1129235,30.2622,141.1542
web,web_13_trace,134.68522262573242,Pass,566.7796609401703,39999813,16829381,2.3768,4813533,116661,0.2860,0.0069,2.4236%,2.9165,3772877,32.3405,94.3224,20999813,7094713,2.9599,2687998,54159,0.3789,0.0076,2.0148%,2.5790,1903655,35.1494,90.6510
web,web_14_trace,235.48800468444824,Pass,825.7754099369049,70000043,19666745,3.5593,11059737,245359,0.5624,0.0125,2.2185%,3.5051,10555396,43.0202,150.7913,35000043,8502144,4.1166,5268168,96116,0.6196,0.0113,1.8245%,2.7462,4149829,43.1752,118.5664
web,web_15_trace,61.94837951660156,Pass,254.62193942070007,14999858,7912364,1.8957,2411251,77402,0.3047,0.0098,3.2100%,5.1602,2327821,30.0744,155.1895,7999858,3234110,2.4736,1229867,34207,0.3803,0.0106,2.7814%,4.2760,912862,26.6864,114.1098
web,web_16_trace,61.720746994018555,Pass,302.30062103271484,20000052,9921330,2.0159,1486259,32203,0.1498,0.0032,2.1667%,1.6101,1202845,37.3520,60.1421,10000052,6894673,1.4504,732871,22123,0.1063,0.0032,3.0187%,2.2123,820626,37.0938,82.0622
web,web_17_trace,54.710463523864746,Pass,266.85748076438904,15000021,6119156,2.4513,2215426,22420,0.3620,0.0037,1.0120%,1.4947,911945,40.6755,60.7962,8000021,2282881,3.5044,1069158,5230,0.4683,0.0023,0.4892%,0.6537,173263,33.1287,21.6578
web,web_18_trace,40.12125015258789,Pass,259.69216990470886,15000059,3920267,3.8263,1853795,41280,0.4729,0.0105,2.2268%,2.7520,2032200,49.2297,135.4795,8000059,1974633,4.0514,994147,20545,0.5035,0.0104,2.0666%,2.5681,1023960,49.8399,127.9941
web,web_19_trace,46.80075454711914,Pass,269.795658826828,15000016,9445238,1.5881,2562002,77126,0.2712,0.0082,3.0104%,5.1417,2374852,30.7918,158.3233,8000016,4298600,1.8611,1380363,50494,0.3211,0.0117,3.6580%,6.3117,1205708,23.8782,150.7132
web,web_1_trace,158.93916416168213,Pass,437.07951855659485,39999048,11901800,3.3608,5515292,125243,0.4634,0.0105,2.2708%,3.1311,4336612,34.6256,108.4179,20999048,4906459,4.2799,2909408,65533,0.5930,0.0134,2.2525%,3.1208,1870716,28.5462,89.0858
web,web_20_trace,91.22524166107178,Pass,288.0867073535919,20000004,10265841,1.9482,3186911,65841,0.3104,0.0064,2.0660%,3.2920,2022364,30.7159,101.1182,10000004,3740491,2.6734,1586755,18390,0.4242,0.0049,1.1590%,1.8390,568052,30.8892,56.8052
web,web_21_trace,37.0328950881958,Pass,223.65195965766907,15000054,5923041,2.5325,2614946,23794,0.4415,0.0040,0.9099%,1.5863,2035255,85.5365,135.6832,8000054,4734190,1.6898,1411368,18990,0.2981,0.0040,1.3455%,2.3737,1848371,97.3339,231.0448
web,web_22_trace,51.9125394821167,Pass,308.0263283252716,20000051,5950809,3.3609,2417352,65369,0.4062,0.0110,2.7042%,3.2684,2941528,44.9988,147.0760,10000051,2613426,3.8264,1222376,30072,0.4677,0.0115,2.4601%,3.0072,1399462,46.5370,139.9455
web,web_23_trace,60.17267894744873,Pass,331.82469296455383,20000047,6282722,3.1833,3286069,20352,0.5230,0.0032,0.6193%,1.0176,743719,36.5428,37.1859,10000047,4565729,2.1902,1544231,15552,0.3382,0.0034,1.0071%,1.5552,555647,35.7283,55.5644
web,web_24_trace,80.5669527053833,Pass,281.3496675491333,14999923,8334674,1.7997,1985890,25806,0.2383,0.0031,1.2995%,1.7204,810687,31.4147,54.0461,7999923,3982698,2.0087,1067447,12059,0.2680,0.0030,1.1297%,1.5074,359997,29.8530,45.0001
web,web_25_trace,46.08135795593262,Pass,271.82125878334045,14999989,7273151,2.0624,2548670,87206,0.3504,0.0120,3.4216%,5.8137,3029665,34.7415,201.9778,7999989,2965595,2.6976,1342253,51176,0.4526,0.0173,3.8127%,6.3970,1726350,33.7336,215.7940
web,web_2_trace,126.7424545288086,Pass,446.7062861919403,39999746,11910320,3.3584,5842811,153278,0.4906,0.0129,2.6234%,3.8320,4289935,27.9879,107.2491,20999746,5766669,3.6416,3176039,84379,0.5508,0.0146,2.6567%,4.0181,2508247,29.7260,119.4418
web,web_3_trace,134.2002592086792,Pass,448.97735476493835,39999981,12109219,3.3033,6018442,144452,0.4970,0.0119,2.4002%,3.6113,4434901,30.7016,110.8726,20999981,5514273,3.8083,3382696,65074,0.6134,0.0118,1.9237%,3.0988,2363655,36.3226,112.5551
web,web_4_trace,107.63480854034424,Pass,427.6589686870575,39999718,13171863,3.0368,6265226,163860,0.4757,0.0124,2.6154%,4.0965,4880595,29.7852,122.0157,20999718,6250860,3.3595,3426349,75231,0.5481,0.0120,2.1957%,3.5825,2135276,28.3829,101.6812
web,web_5_trace,119.46124076843262,Pass,413.6783514022827,39999694,12235578,3.2691,6198022,172742,0.5066,0.0141,2.7871%,4.3186,4579495,26.5106,114.4883,20999694,6334327,3.3152,3330435,101288,0.5258,0.0160,3.0413%,4.8233,2620450,25.8713,124.7852
web,web_6_trace,115.35440254211426,Pass,542.3694853782654,40000022,13000810,3.0767,6002648,185470,0.4617,0.0143,3.0898%,4.6367,5502980,29.6705,137.5744,20000022,6780787,2.9495,2962421,114162,0.4369,0.0168,3.8537%,5.7081,3368703,29.5081,168.4350
web,web_7_trace,41.589111328125,Pass,437.556125164032,39999850,9394116,4.2580,6633962,244862,0.7062,0.0261,3.6910%,6.1216,4596673,18.7725,114.9173,20999850,4437191,4.7327,3471337,109882,0.7823,0.0248,3.1654%,5.2325,1898589,17.2784,90.4096
web,web_8_trace,110.87185478210449,Pass,538.1483628749847,39999955,13810177,2.8964,6210740,186179,0.4497,0.0135,2.9977%,4.6545,5009570,26.9073,125.2394,20999955,5736431,3.6608,3431526,82718,0.5982,0.0144,2.4105%,3.9390,2144418,25.9244,102.1154
web,web_9_trace,113.31267833709717,Pass,551.8251812458038,39999863,13952012,2.8670,6952037,99991,0.4983,0.0072,1.4383%,2.4998,2538307,25.3854,63.4579,20999863,4402086,4.7704,4136031,2695,0.9396,0.0006,0.0652%,0.1283,52296,19.4048,2.4903
