CMD:bin/cbp.man traces/web/web_11_trace.gz
 (TAGE 1217581)  (LOOP 3648)  (SC 197568) 
 (TOTAL 1418797 bits 173.192993 KB) 
 TAGE Low Bank Used: 6
 TAGE High Bank Used: 15
 (Hard Branch Table 4559)  (Correlation Table 108576)  (Load Value Correlated Predictor Top 40041) 
 (Load Value Correlated Predictor TOTAL 18.698242 KB) 
 (Hard Branch Table 4559)  (Correlation Table 108576)  (Load Value Correlated Predictor Top 40041) 
 (Load Value Correlated Predictor TOTAL 18.698242 KB) 
[0, 0x80002b88], 33554607
[0xaaaaad08fa40, 0x80000d00], 288227444153637964
[0xffffdeed9008, 0xffff800080010c00], 288223779124170225
[0xffffdeed8fe4, 0xffff800080010c00], 288223779124170226
[0xaaaab2068ce4, 0xffff800080010c00], 288225245129075198
[0xaaaab2068ce4, 0xffff800080010c00], 288225245129075198
[0xaaaaae305c90, 0xffff800080010c00], 288225245130080959
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdeef8000, 0xffff800080010c00], 288223779124168241
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xaaaab17cedfc, 0xffff800080010c00], 288225245129216122
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdeef8000, 0xffff800080010c00], 288223779124168241
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xaaaab18cd984, 0xffff800080010c00], 288225245129199819
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xaaaab1aecda8, 0xffff800080010c00], 288225245129165051
[0xaaaab1aecd6c, 0xffff800080010c00], 288225245129165052
[0xffffdeebbd24, 0xffff800080010c00], 288223779124172093
[0xffffdeeb9fe0, 0xffff800080010c00], 288223779124172210
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdeef6640, 0xffff800080010c00], 288223779124168344
[0xffffdeef6640, 0xffff800080010c00], 288223779124168344
[0xffffdeef6640, 0xffff800080010c00], 288223779124168344
[0xffffdeef6640, 0xffff800080010c00], 288223779124168344
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
5000000 instrs 
[0xffffdef27e10, 0xffff800080010c00], 288223779124165177
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef1bc5c, 0xffff800080010c00], 288223779124165952
[0xffffdef27d30, 0xffff800080010c00], 288223779124165181
[0xffffdef28100, 0xffff800080010c00], 288223779124165165
[0xffffdeef8000, 0xffff800080010c00], 288223779124168241
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef28100, 0xffff800080010c00], 288223779124165165
[0xffffdef1cab8, 0xffff800080010c00], 288223779124165895
[0xffffdef1cab8, 0xffff800080010c00], 288223779124165895
[0xffffdef28060, 0xffff800080010c00], 288223779124165168
[0xffffdef28060, 0xffff800080010c00], 288223779124165168
[0xffffdef28060, 0xffff800080010c00], 288223779124165168
[0xffffdef28060, 0xffff800080010c00], 288223779124165168
[0xffffdef27980, 0xffff800080010c00], 288223779124165195
[0xffffdef26e40, 0xffff800080010c00], 288223779124165240
[0xffffdef27a60, 0xffff800080010c00], 288223779124165192
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdef21a40, 0xffff800080010c00], 288223779124165576
[0xffffdeebbd24, 0xffff800080010c00], 288223779124172093
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
[0xffffdef27a60, 0xffff800080010c00], 288223779124165192
[0xffffdef26e40, 0xffff800080010c00], 288223779124165240
[0xffffdef17c7c, 0xffff800080010c00], 288223779124166208
[0xffffdef25e98, 0xffff800080010c00], 288223779124165303
[0xffffdef17bac, 0xffff800080010c00], 288223779124166211
