CMD:bin/cbp.man traces/web/web_2_trace.gz
 (TAGE 1217581)  (LOOP 3648)  (SC 197568) 
 (TOTAL 1418797 bits 173.192993 KB) 
 TAGE Low Bank Used: 6
 TAGE High Bank Used: 15
 (Hard Branch Table 4559)  (Correlation Table 108576)  (Load Value Correlated Predictor Top 40041) 
 (Load Value Correlated Predictor TOTAL 18.698242 KB) 
 (Hard Branch Table 4559)  (Correlation Table 108576)  (Load Value Correlated Predictor Top 40041) 
 (Load Value Correlated Predictor TOTAL 18.698242 KB) 
[0, 0x80001930], 33554533
[0x40010008cce0, 0xffff000008081c04], 288224878528560446
[0xaaaaab63d3dc, 0xffff000008081c04], 288223046076109090
[0x40010008f3c4, 0xffff000008081c04], 288224878528560290
[0x400100084154, 0xffff000008081c04], 288224878528561004
[0x400100084858, 0xffff000008081c04], 288224878528560976
[0x400100083e04, 0xffff000008081c04], 288224878528561017
[0x40010008c3b0, 0xffff000008081c04], 288224878528560483
[0xaaaaab63acc0, 0xffff000008081c04], 288223046076109246
[0x40010008b4c0, 0xffff000008081c04], 288224878528560542
[0x40010008bb44, 0xffff000008081c04], 288224878528560516
[0x40010008b828, 0xffff000008081c04], 288224878528560529
[0x400100083e04, 0xffff000008081c04], 288224878528561017
[0x400100084858, 0xffff000008081c04], 288224878528560976
[0xaaaaab63acc0, 0xffff000008081c04], 288223046076109246
[0x40010008b828, 0xffff000008081c04], 288224878528560529
[0xaaaaab64273c, 0xffff000008081c04], 288223046076108757
[0x40010008c3b0, 0xffff000008081c04], 288224878528560483
[0x40010008343c, 0xffff000008081c04], 288224878528561057
[0x40010008cce0, 0xffff000008081c04], 288224878528560446
[0x40010008c3b0, 0xffff000008081c04], 288224878528560483
[0x400100090c94, 0xffff000008081c04], 288224878528560191
[0x400100084154, 0xffff000008081c04], 288224878528561004
[0x400100083e04, 0xffff000008081c04], 288224878528561017
[0x400100084858, 0xffff000008081c04], 288224878528560976
[0x40010008cce0, 0xffff000008081c04], 288224878528560446
[0x400100090c94, 0xffff000008081c04], 288224878528560191
[0xaaaaab63d3dc, 0xffff000008081c04], 288223046076109090
[0xaaaaab5505cc, 0xffff000008081c04], 288223046076124250
[0x400100084404, 0xffff000008081c04], 288224878528560993
[0x400100084154, 0xffff000008081c04], 288224878528561004
