Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,251.2215256690979,30000052,6804263,4.4090,1619852,96726,0.2381,0.0142,5.9713%,3.2242,3029626,31.3217,100.9874,15000052,3428080,4.3756,807780,49681,0.2356,0.0145,6.1503%,3.3121,1553309,31.2657,103.5536
fp,fp_10_trace,270.7881956100464,Pass,542.333078622818,40000016,6782460,5.8976,3492402,76623,0.5149,0.0113,2.1940%,1.9156,1709206,22.3067,42.7301,20000016,3329779,6.0064,1748758,36546,0.5252,0.0110,2.0898%,1.8273,818091,22.3852,40.9045
fp,fp_11_trace,297.7953281402588,Pass,564.1958889961243,40000016,7569977,5.2840,3526510,25121,0.4659,0.0033,0.7123%,0.6280,556310,22.1452,13.9077,20000016,3654220,5.4731,1776440,12110,0.4861,0.0033,0.6817%,0.6055,262206,21.6520,13.1103
fp,fp_12_trace,48.495734214782715,Pass,436.12711668014526,40000016,7999731,5.0002,4420257,43778,0.5526,0.0055,0.9904%,1.0944,2843816,64.9599,71.0954,20000016,3879003,5.1560,2222665,18858,0.5730,0.0049,0.8484%,0.9429,1257253,66.6695,62.8626
fp,fp_13_trace,84.63656806945801,Pass,375.03077149391174,40000016,15107481,2.6477,6454282,498017,0.4272,0.0330,7.7161%,12.4504,10586096,21.2565,264.6523,20000016,7398877,2.7031,3233671,248407,0.4370,0.0336,7.6819%,12.4203,5194869,20.9127,259.7432
fp,fp_1_trace,42.69381523132324,Pass,239.45373797416687,30000052,30430838,0.9858,5950800,467891,0.1956,0.0154,7.8627%,15.5963,26729594,57.1278,890.9849,15000052,15229200,0.9850,2965791,235028,0.1947,0.0154,7.9246%,15.6685,13388229,56.9644,892.5455
fp,fp_2_trace,113.98153591156006,Pass,350.74161195755005,30000052,6205339,4.8346,2471756,76520,0.3983,0.0123,3.0958%,2.5507,2686573,35.1094,89.5523,15000052,3061104,4.9002,1232306,38969,0.4026,0.0127,3.1623%,2.5979,1348553,34.6058,89.9032
fp,fp_3_trace,223.02585411071777,Pass,413.99547576904297,30000052,12651352,2.3713,1539997,57180,0.1217,0.0045,3.7130%,1.9060,6428940,112.4334,214.2976,15000052,6312652,2.3762,770204,29124,0.1220,0.0046,3.7813%,1.9416,3249877,111.5876,216.6577
fp,fp_4_trace,106.30326175689697,Pass,359.126314163208,30000052,6531066,4.5934,2573337,17089,0.3940,0.0026,0.6641%,0.5696,990551,57.9642,33.0183,15000052,2607303,5.7531,1285217,6615,0.4929,0.0025,0.5147%,0.4410,283217,42.8144,18.8811
fp,fp_5_trace,332.9483413696289,Pass,579.7130699157715,40000016,7571478,5.2830,740391,37475,0.0978,0.0049,5.0615%,0.9369,1287160,34.3472,32.1790,20000016,3750822,5.3322,370890,18625,0.0989,0.0050,5.0217%,0.9312,643092,34.5284,32.1546
fp,fp_6_trace,63.58891201019287,Pass,392.28430557250977,40000016,5721421,6.9913,7034423,35947,1.2295,0.0063,0.5110%,0.8987,1374027,38.2237,34.3507,20000016,2778194,7.1989,3515104,16763,1.2652,0.0060,0.4769%,0.8381,643595,38.3938,32.1797
fp,fp_7_trace,159.0718936920166,Pass,494.0340621471405,40000016,7725870,5.1774,4716883,40111,0.6105,0.0052,0.8504%,1.0028,1765006,44.0030,44.1251,20000016,3638019,5.4975,2394520,16864,0.6582,0.0046,0.7043%,0.8432,741787,43.9864,37.0893
fp,fp_8_trace,211.10272789001465,Pass,493.64770889282227,40000016,12910300,3.0983,2322129,298682,0.1799,0.0231,12.8624%,7.4670,6851638,22.9396,171.2909,20000016,7171825,2.7887,1347173,210758,0.1878,0.0294,15.6445%,10.5379,4771943,22.6418,238.5970
fp,fp_9_trace,143.53112411499023,Pass,505.93069291114807,40000016,16142489,2.4779,5012816,164460,0.3105,0.0102,3.2808%,4.1115,11304532,68.7373,282.6132,20000016,7688256,2.6014,2500178,87436,0.3252,0.0114,3.4972%,4.3718,5352788,61.2195,267.6392
