Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,389.48747968673706,40000016,8831015,4.5295,5140781,50213,0.5821,0.0057,0.9768%,1.2553,1460521,29.0865,36.5130,20000016,4390926,4.5549,2582400,25766,0.5881,0.0059,0.9978%,1.2883,773988,30.0391,38.6994
infra,infra_10_trace,117.67702960968018,Pass,446.5256645679474,50000052,18288958,2.7339,6548159,261067,0.3580,0.0143,3.9869%,5.2213,13001827,49.8026,260.0363,25000052,6276856,3.9829,3150015,115384,0.5018,0.0184,3.6630%,4.6154,4022336,34.8604,160.8931
infra,infra_11_trace,209.36411476135254,Pass,462.61317110061646,50000052,18240911,2.7411,7754708,49710,0.4251,0.0027,0.6410%,0.9942,3768828,75.8163,75.3765,25000052,9187222,2.7212,3881908,23898,0.4225,0.0026,0.6156%,0.9559,2162837,90.5028,86.5133
infra,infra_12_trace,207.57365608215332,Pass,467.2692244052887,50000052,17429619,2.8687,7862103,48693,0.4511,0.0028,0.6193%,0.9739,3305598,67.8865,66.1119,25000052,8310013,3.0084,3927069,22865,0.4726,0.0028,0.5822%,0.9146,1638645,71.6661,65.5457
infra,infra_13_trace,139.63556957244873,Pass,431.0932893753052,50000052,20321950,2.4604,6532412,203151,0.3214,0.0100,3.1099%,4.0630,13520753,66.5552,270.4148,25000052,9598692,2.6045,3378036,82378,0.3519,0.0086,2.4386%,3.2951,5092578,61.8196,203.7027
infra,infra_14_trace,118.4549331665039,Pass,442.2484564781189,50000052,17819217,2.8060,6536492,263777,0.3668,0.0148,4.0355%,5.2755,12703065,48.1583,254.0610,25000052,6246809,4.0021,3156210,114554,0.5053,0.0183,3.6295%,4.5822,3997033,34.8921,159.8810
infra,infra_15_trace,101.22027969360352,Pass,424.7797439098358,50000052,34230927,1.4607,6957507,415738,0.2033,0.0121,5.9754%,8.3148,29704600,71.4503,594.0914,25000052,6296595,3.9704,3466846,140846,0.5506,0.0224,4.0627%,5.6338,4015658,28.5110,160.6260
infra,infra_1_trace,175.13615703582764,Pass,368.85541439056396,37799521,8181966,4.6199,4337669,13123,0.5301,0.0016,0.3025%,0.3472,578725,44.1001,15.3104,19799521,3725843,5.3141,2263258,3704,0.6074,0.0010,0.1637%,0.1871,122514,33.0761,6.1877
infra,infra_2_trace,221.61112022399902,Pass,742.9018106460571,47546686,10600926,4.4851,5818731,21518,0.5489,0.0020,0.3698%,0.4526,686105,31.8852,14.4301,24546686,4295835,5.7141,2997214,6489,0.6977,0.0015,0.2165%,0.2644,121304,18.6938,4.9418
infra,infra_3_trace,83.57435989379883,Pass,385.9212169647217,40000016,8044664,4.9722,5433078,41135,0.6754,0.0051,0.7571%,1.0284,1062427,25.8278,26.5607,20000016,3987764,5.0153,2737308,18931,0.6864,0.0047,0.6916%,0.9465,496938,26.2500,24.8469
infra,infra_4_trace,84.87091732025146,Pass,425.04215931892395,40000016,23862093,1.6763,5988066,97065,0.2509,0.0041,1.6210%,2.4266,12129537,124.9630,303.2383,20000016,11910586,1.6792,2971304,48532,0.2495,0.0041,1.6334%,2.4266,6037329,124.3989,301.8662
infra,infra_5_trace,58.871103286743164,Pass,456.05183124542236,40000016,34451714,1.1610,7268207,87846,0.2110,0.0025,1.2086%,2.1961,26269667,299.0423,656.7414,20000016,22138917,0.9034,3539219,62687,0.1599,0.0028,1.7712%,3.1343,18302005,291.9585,915.0995
infra,infra_6_trace,168.09687328338623,Pass,636.7904052734375,64718349,15310967,4.2269,9187928,77970,0.6001,0.0051,0.8486%,1.2048,3061290,39.2624,47.3017,32718349,7699880,4.2492,5004718,37859,0.6500,0.0049,0.7565%,1.1571,1751062,46.2522,53.5193
infra,infra_7_trace,65.31903553009033,Pass,455.25885820388794,40000016,21713961,1.8421,6716982,56461,0.3093,0.0026,0.8406%,1.4115,7937950,140.5917,198.4487,20000016,11173239,1.7900,3345402,15618,0.2994,0.0014,0.4668%,0.7809,3368840,215.7024,168.4419
infra,infra_8_trace,54.09443473815918,Pass,461.7686049938202,40000016,24540503,1.6300,7460282,49908,0.3040,0.0020,0.6690%,1.2477,15851399,317.6124,396.2848,20000016,12240397,1.6339,3730712,24781,0.3048,0.0020,0.6642%,1.2390,7887564,318.2908,394.3779
infra,infra_9_trace,141.69822597503662,Pass,453.6280152797699,50000052,29056905,1.7208,7203244,226295,0.2479,0.0078,3.1416%,4.5259,19441991,85.9144,388.8394,25000052,17160949,1.4568,3405201,171051,0.1984,0.0100,5.0232%,6.8420,14543400,85.0238,581.7348
