Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,632.1699607372284,40000041,14635037,2.7332,6223265,201385,0.4252,0.0138,3.2360%,5.0346,9940771,49.3620,248.5190,20000041,6490295,3.0815,3076555,98229,0.4740,0.0151,3.1928%,4.9114,4258484,43.3526,212.9238
int,int_10_trace,204.85591316223145,Pass,870.5018565654755,60000052,9653247,6.2155,7032592,31325,0.7285,0.0032,0.4454%,0.5221,856762,27.3507,14.2794,30000052,4462774,6.7223,3499163,14886,0.7841,0.0033,0.4254%,0.4962,342554,23.0118,11.4184
int,int_11_trace,203.19092559814453,Pass,859.4704477787018,60000052,16269053,3.6880,4130584,242288,0.2539,0.0149,5.8657%,4.0381,8838830,36.4807,147.3137,30000052,8134080,3.6882,2064453,122384,0.2538,0.0150,5.9282%,4.0795,4458695,36.4320,148.6229
int,int_12_trace,204.59925079345703,Pass,963.4363799095154,59999603,18404999,3.2600,6357220,25442,0.3454,0.0014,0.4002%,0.4240,971583,38.1882,16.1932,30999603,4918915,6.3021,4522132,24142,0.9193,0.0049,0.5339%,0.7788,888202,36.7907,28.6520
int,int_13_trace,32.30572509765625,Pass,634.7987875938416,40000052,6208317,6.4430,4243961,35565,0.6836,0.0057,0.8380%,0.8891,1038697,29.2056,25.9674,20000052,3041713,6.5753,2111572,16546,0.6942,0.0054,0.7836%,0.8273,497683,30.0788,24.8841
int,int_14_trace,177.29002475738525,Pass,680.4503664970398,39999640,6984911,5.7266,7635435,15377,1.0931,0.0022,0.2014%,0.3844,403955,26.2701,10.0990,20999640,3396107,6.1834,3974167,6616,1.1702,0.0019,0.1665%,0.3151,155423,23.4920,7.4012
int,int_15_trace,98.1560001373291,Pass,984.1273176670074,70000157,18490584,3.7857,9192864,32932,0.4972,0.0018,0.3582%,0.4705,1838204,55.8182,26.2600,35000157,9293385,3.7661,4669511,31176,0.5025,0.0034,0.6677%,0.8907,1462159,46.9001,41.7758
int,int_16_trace,128.2670030593872,Pass,684.258492231369,40000031,17181251,2.3281,6733574,221072,0.3919,0.0129,3.2831%,5.5268,5371628,24.2981,134.2906,20000031,7148706,2.7977,3364149,111663,0.4706,0.0156,3.3192%,5.5831,2573974,23.0513,128.6985
int,int_17_trace,128.60758018493652,Pass,673.8424956798553,39999987,15400762,2.5973,6659971,187664,0.4324,0.0122,2.8178%,4.6916,4559144,24.2942,113.9786,20999987,6033962,3.4803,3432362,83518,0.5688,0.0138,2.4333%,3.9771,1941709,23.2490,92.4624
int,int_18_trace,108.31880569458008,Pass,726.188220500946,39999864,10689061,3.7421,9457814,29429,0.8848,0.0028,0.3112%,0.7357,1349373,45.8518,33.7344,20999864,5084781,4.1299,4985263,11740,0.9804,0.0023,0.2355%,0.5591,494379,42.1106,23.5420
int,int_19_trace,184.28955841064453,Pass,714.1260652542114,40000052,7944446,5.0350,5852871,30062,0.7367,0.0038,0.5136%,0.7515,1321669,43.9648,33.0417,20000052,3748427,5.3356,2929049,11428,0.7814,0.0030,0.3902%,0.5714,551357,48.2461,27.5678
