Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_0_trace,104.021315574646,Pass,567.0256764888763,39999493,19899071,2.0101,11904941,53197,0.5983,0.0027,0.4468%,1.3299,6647594,124.9618,166.1920,20999493,9702482,2.1643,6370198,19210,0.6566,0.0020,0.3016%,0.9148,2187715,113.8842,104.1794
web,web_10_trace,67.32332420349121,Pass,270.1056022644043,19999796,11046705,1.8105,2621960,56789,0.2374,0.0051,2.1659%,2.8395,1824512,32.1279,91.2265,10999796,3284973,3.3485,1436395,24096,0.4373,0.0073,1.6775%,2.1906,665576,27.6218,60.5080
web,web_11_trace,43.46553611755371,Pass,101.39235591888428,10001443,11467353,0.8722,1391369,46743,0.1213,0.0041,3.3595%,4.6736,1967146,42.0843,196.6862,5001443,5023023,0.9957,674449,22986,0.1343,0.0046,3.4081%,4.5959,893560,38.8741,178.6604
web,web_12_trace,61.48514461517334,Pass,196.41711926460266,15000009,9185016,1.6331,2254326,59122,0.2454,0.0064,2.6226%,3.9415,1990017,33.6595,132.6677,8000009,4258858,1.8784,1175254,36961,0.2760,0.0087,3.1449%,4.6201,1121820,30.3515,140.2273
web,web_13_trace,134.68522262573242,Pass,508.6430401802063,39999813,16850894,2.3738,4813533,118146,0.2857,0.0070,2.4545%,2.9537,3802976,32.1888,95.0748,20999813,7097144,2.9589,2687998,54542,0.3787,0.0077,2.0291%,2.5973,1911194,35.0408,91.0100
web,web_14_trace,235.48800468444824,Pass,711.1030201911926,70000043,19740537,3.5460,11059737,252010,0.5603,0.0128,2.2786%,3.6001,10608253,42.0946,151.5464,35000043,8523271,4.1064,5268168,98091,0.6181,0.0115,1.8620%,2.8026,4163535,42.4456,118.9580
web,web_15_trace,61.94837951660156,Pass,215.33599162101746,14999858,7881767,1.9031,2411251,75983,0.3059,0.0096,3.1512%,5.0656,2292468,30.1708,152.8326,7999858,3219444,2.4849,1229867,33217,0.3820,0.0103,2.7009%,4.1522,895753,26.9667,111.9711
web,web_16_trace,61.720746994018555,Pass,292.80109119415283,20000052,9922743,2.0156,1486259,32110,0.1498,0.0032,2.1605%,1.6055,1201117,37.4063,60.0557,10000052,6899544,1.4494,732871,22186,0.1062,0.0032,3.0273%,2.2186,823903,37.1362,82.3899
web,web_17_trace,54.710463523864746,Pass,169.19463658332825,15000021,6114208,2.4533,2215426,21781,0.3623,0.0036,0.9832%,1.4521,905514,41.5736,60.3675,8000021,2277106,3.5132,1069158,4953,0.4695,0.0022,0.4633%,0.6191,167202,33.7577,20.9002
web,web_18_trace,40.12125015258789,Pass,131.1042356491089,15000059,3904073,3.8422,1853795,40794,0.4748,0.0104,2.2006%,2.7196,2020771,49.5360,134.7175,8000059,1968431,4.0642,994147,20408,0.5050,0.0104,2.0528%,2.5510,1018577,49.9107,127.3212
web,web_19_trace,46.80075454711914,Pass,238.53007411956787,15000016,9424055,1.5917,2562002,75833,0.2719,0.0080,2.9599%,5.0555,2347862,30.9610,156.5240,8000016,4280912,1.8688,1380363,49375,0.3224,0.0115,3.5770%,6.1719,1185834,24.0169,148.2290
