Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,260.2894697189331,30000052,6806554,4.4075,1619852,96482,0.2380,0.0142,5.9562%,3.2161,3023589,31.3384,100.7861,15000052,3429253,4.3741,807780,49578,0.2356,0.0145,6.1376%,3.3052,1550662,31.2772,103.3771
fp,fp_10_trace,270.7881956100464,Pass,549.637779712677,40000016,6827142,5.8590,3492402,80210,0.5115,0.0117,2.2967%,2.0052,1761318,21.9588,44.0329,20000016,3353028,5.9648,1748758,38457,0.5215,0.0115,2.1991%,1.9228,845183,21.9774,42.2591
fp,fp_11_trace,297.7953281402588,Pass,576.626344203949,40000016,7541292,5.3041,3526510,23228,0.4676,0.0031,0.6587%,0.5807,518591,22.3261,12.9648,20000016,3638865,5.4962,1776440,11269,0.4882,0.0031,0.6344%,0.5634,241856,21.4621,12.0928
fp,fp_12_trace,48.495734214782715,Pass,457.9377553462982,40000016,8068378,4.9576,4420257,43877,0.5478,0.0054,0.9926%,1.0969,2947568,67.1780,73.6892,20000016,3935483,5.0820,2222665,19458,0.5648,0.0049,0.8754%,0.9729,1339341,68.8324,66.9670
fp,fp_13_trace,84.63656806945801,Pass,386.14950585365295,40000016,14986101,2.6691,6454282,492614,0.4307,0.0329,7.6324%,12.3153,10443489,21.2001,261.0871,20000016,7336974,2.7259,3233671,246384,0.4407,0.0336,7.6193%,12.3192,5125807,20.8041,256.2901
fp,fp_1_trace,42.69381523132324,Pass,250.31729340553284,30000052,30415822,0.9863,5950800,466611,0.1956,0.0153,7.8411%,15.5537,26709405,57.2413,890.3120,15000052,15204218,0.9866,2965791,233875,0.1951,0.0154,7.8858%,15.5916,13361743,57.1320,890.7798
fp,fp_2_trace,113.98153591156006,Pass,358.32004594802856,30000052,6204107,4.8355,2471756,76015,0.3984,0.0123,3.0753%,2.5338,2684775,35.3190,89.4923,15000052,3061817,4.8991,1232306,38793,0.4025,0.0127,3.1480%,2.5862,1349385,34.7842,89.9587
fp,fp_3_trace,223.02585411071777,Pass,416.6160342693329,30000052,12624339,2.3764,1539997,56301,0.1220,0.0045,3.6559%,1.8767,6431090,114.2269,214.3693,15000052,6299436,2.3812,770204,28657,0.1223,0.0045,3.7207%,1.9105,3247176,113.3118,216.4776
fp,fp_4_trace,106.30326175689697,Pass,363.4757311344147,30000052,6476063,4.6325,2573337,15741,0.3974,0.0024,0.6117%,0.5247,920537,58.4802,30.6845,15000052,2605859,5.7563,1285217,6370,0.4932,0.0024,0.4956%,0.4247,279810,43.9262,18.6539
fp,fp_5_trace,332.9483413696289,Pass,590.3832361698151,40000016,7566961,5.2861,740391,37008,0.0978,0.0049,4.9984%,0.9252,1279928,34.5852,31.9982,20000016,3751281,5.3315,370890,18486,0.0989,0.0049,4.9842%,0.9243,642258,34.7429,32.1129
fp,fp_6_trace,63.58891201019287,Pass,408.5834403038025,40000016,5667816,7.0574,7034423,34200,1.2411,0.0060,0.4862%,0.8550,1313976,38.4204,32.8494,20000016,2752344,7.2665,3515104,16143,1.2771,0.0059,0.4592%,0.8071,615912,38.1535,30.7956
fp,fp_7_trace,159.0718936920166,Pass,510.6476151943207,40000016,7685214,5.2048,4716883,38594,0.6138,0.0050,0.8182%,0.9648,1720500,44.5795,43.0125,20000016,3622804,5.5206,2394520,16364,0.6610,0.0045,0.6834%,0.8182,726392,44.3896,36.3196
fp,fp_8_trace,211.10272789001465,Pass,501.5502619743347,40000016,12853367,3.1120,2322129,295423,0.1807,0.0230,12.7221%,7.3856,6791943,22.9906,169.7985,20000016,7132615,2.8040,1347173,208516,0.1889,0.0292,15.4780%,10.4258,4731217,22.6899,236.5607
fp,fp_9_trace,143.53112411499023,Pass,512.262663602829,40000016,16142470,2.4779,5012816,164674,0.3105,0.0102,3.2851%,4.1168,11292662,68.5759,282.3164,20000016,7689228,2.6010,2500178,87539,0.3252,0.0114,3.5013%,4.3769,5349373,61.1085,267.4684
