Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,404.31872272491455,40000016,8821621,4.5343,5140781,49813,0.5827,0.0056,0.9690%,1.2453,1450722,29.1234,36.2680,20000016,4387751,4.5581,2582400,25670,0.5885,0.0059,0.9940%,1.2835,771642,30.0601,38.5821
infra,infra_10_trace,117.67702960968018,Pass,457.7412209510803,50000052,18230356,2.7427,6548159,257209,0.3592,0.0141,3.9280%,5.1442,12936106,50.2941,258.7219,25000052,6227885,4.0142,3150015,112547,0.5058,0.0181,3.5729%,4.5019,3969115,35.2663,158.7643
infra,infra_11_trace,209.36411476135254,Pass,476.9137454032898,50000052,18189986,2.7488,7754708,47341,0.4263,0.0026,0.6105%,0.9468,3666505,77.4488,73.3300,25000052,9156948,2.7302,3881908,22864,0.4239,0.0025,0.5890%,0.9146,2097970,91.7587,83.9186
infra,infra_12_trace,207.57365608215332,Pass,481.20347452163696,50000052,17382923,2.8764,7862103,46378,0.4523,0.0027,0.5899%,0.9276,3218742,69.4023,64.3748,25000052,8274946,3.0212,3927069,21800,0.4746,0.0026,0.5551%,0.8720,1574681,72.2331,62.9871
infra,infra_13_trace,139.63556957244873,Pass,446.9379301071167,50000052,20252970,2.4688,6532412,198429,0.3225,0.0098,3.0376%,3.9686,13440379,67.7339,268.8073,25000052,9542100,2.6200,3378036,80252,0.3540,0.0084,2.3757%,3.2101,5028490,62.6587,201.1392
infra,infra_14_trace,118.4549331665039,Pass,456.69248056411743,50000052,17759543,2.8154,6536492,259765,0.3681,0.0146,3.9741%,5.1953,12647052,48.6865,252.9408,25000052,6198341,4.0333,3156210,112064,0.5092,0.0181,3.5506%,4.4826,3945563,35.2081,157.8222
infra,infra_15_trace,101.22027969360352,Pass,445.3989839553833,50000052,33935863,1.4734,6957507,413820,0.2050,0.0122,5.9478%,8.2764,29388280,71.0171,587.7650,25000052,6282959,3.9790,3466846,140196,0.5518,0.0223,4.0439%,5.6078,4001468,28.5420,160.0584
infra,infra_1_trace,175.13615703582764,Pass,381.7274754047394,37799521,8207719,4.6054,4337669,14147,0.5285,0.0017,0.3261%,0.3743,618017,43.6854,16.3499,19799521,3741254,5.2922,2263258,4320,0.6049,0.0012,0.1909%,0.2182,144932,33.5491,7.3200
infra,infra_2_trace,221.61112022399902,Pass,760.9742069244385,47546686,10640067,4.4686,5818731,22847,0.5469,0.0021,0.3926%,0.4805,730433,31.9706,15.3624,24546686,4321213,5.6805,2997214,7386,0.6936,0.0017,0.2464%,0.3009,147538,19.9754,6.0105
infra,infra_3_trace,83.57435989379883,Pass,398.2076587677002,40000016,8035419,4.9780,5433078,40541,0.6761,0.0050,0.7462%,1.0135,1046560,25.8149,26.1640,20000016,3983950,5.0201,2737308,18750,0.6871,0.0047,0.6850%,0.9375,490227,26.1454,24.5113
infra,infra_4_trace,84.87091732025146,Pass,439.53639960289,40000016,23800889,1.6806,5988066,95421,0.2516,0.0040,1.5935%,2.3855,12044345,126.2232,301.1085,20000016,11904717,1.6800,2971304,48044,0.2496,0.0040,1.6169%,2.4022,6042775,125.7759,302.1385
infra,infra_5_trace,58.871103286743164,Pass,461.8601679801941,40000016,34488725,1.1598,7268207,88646,0.2107,0.0026,1.2196%,2.2161,26324014,296.9566,658.1001,20000016,22129157,0.9038,3539219,63136,0.1599,0.0029,1.7839%,3.1568,18296773,289.7994,914.8379
infra,infra_6_trace,168.09687328338623,Pass,662.6025202274323,64718349,15298478,4.2304,9187928,77012,0.6006,0.0050,0.8382%,1.1900,3046686,39.5612,47.0761,32718349,7696479,4.2511,5004718,37554,0.6503,0.0049,0.7504%,1.1478,1744757,46.4600,53.3266
infra,infra_7_trace,65.31903553009033,Pass,455.25013422966003,40000016,21708155,1.8426,6716982,56163,0.3094,0.0026,0.8361%,1.4041,7910267,140.8448,197.7566,20000016,11179428,1.7890,3345402,15829,0.2992,0.0014,0.4732%,0.7914,3361865,212.3864,168.0931
infra,infra_8_trace,54.09443473815918,Pass,473.3568456172943,40000016,24600314,1.6260,7460282,50348,0.3033,0.0020,0.6749%,1.2587,15915981,316.1194,397.8994,20000016,12249670,1.6327,3730712,24844,0.3046,0.0020,0.6659%,1.2422,7892858,317.6967,394.6426
infra,infra_9_trace,141.69822597503662,Pass,475.46204137802124,50000052,28833638,1.7341,7203244,223215,0.2498,0.0077,3.0988%,4.4643,19174202,85.9002,383.4836,25000052,16972222,1.4730,3405201,169392,0.2006,0.0100,4.9745%,6.7757,14336993,84.6380,573.4785
