Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,620.6860802173615,40000041,14460536,2.7662,6223265,189991,0.4304,0.0131,3.0529%,4.7498,9739199,51.2614,243.4797,20000041,6410184,3.1200,3076555,92605,0.4799,0.0144,3.0100%,4.6302,4167948,45.0078,208.3970
int,int_10_trace,204.85591316223145,Pass,926.8180823326111,60000052,9656518,6.2134,7032592,31333,0.7283,0.0032,0.4455%,0.5222,856914,27.3486,14.2819,30000052,4466917,6.7161,3499163,15026,0.7834,0.0034,0.4294%,0.5009,345443,22.9897,11.5147
int,int_11_trace,203.19092559814453,Pass,894.1826581954956,60000052,16088317,3.7294,4130584,232855,0.2567,0.0145,5.6373%,3.8809,8639802,37.1038,143.9966,30000052,8047677,3.7278,2064453,117620,0.2565,0.0146,5.6974%,3.9207,4361922,37.0849,145.3971
int,int_12_trace,204.59925079345703,Pass,999.8195621967316,59999603,18373551,3.2655,6357220,24220,0.3460,0.0013,0.3810%,0.4037,959737,39.6258,15.9957,30999603,4906329,6.3183,4522132,22926,0.9217,0.0047,0.5070%,0.7396,877576,38.2786,28.3093
int,int_13_trace,32.30572509765625,Pass,630.6196224689484,40000052,6180425,6.4721,4243961,34340,0.6867,0.0056,0.8091%,0.8585,1010456,29.4250,25.2614,20000052,3028309,6.6044,2111572,15927,0.6973,0.0053,0.7543%,0.7963,486056,30.5177,24.3027
int,int_14_trace,177.29002475738525,Pass,704.1378984451294,39999640,6971881,5.7373,7635435,15125,1.0952,0.0022,0.1981%,0.3781,377757,24.9757,9.4440,20999640,3390163,6.1943,3974167,6410,1.1723,0.0019,0.1613%,0.3052,146415,22.8417,6.9723
int,int_15_trace,98.1560001373291,Pass,1015.6560666561127,70000157,18482031,3.7875,9192864,32340,0.4974,0.0017,0.3518%,0.4620,1832973,56.6782,26.1853,35000157,9286561,3.7689,4669511,30618,0.5028,0.0033,0.6557%,0.8748,1456165,47.5591,41.6045
int,int_16_trace,128.2670030593872,Pass,711.8245022296906,40000031,17401684,2.2986,6733574,233118,0.3869,0.0134,3.4620%,5.8279,5584941,23.9576,139.6234,20000031,7293577,2.7421,3364149,119210,0.4612,0.0163,3.5435%,5.9605,2718505,22.8043,135.9250
int,int_17_trace,128.60758018493652,Pass,684.8218805789948,39999987,15510883,2.5788,6659971,193743,0.4294,0.0125,2.9091%,4.8436,4677536,24.1430,116.9384,20999987,6100583,3.4423,3432362,87132,0.5626,0.0143,2.5385%,4.1491,2015490,23.1315,95.9758
int,int_18_trace,108.31880569458008,Pass,764.9641582965851,39999864,10612414,3.7692,9457814,26616,0.8912,0.0025,0.2814%,0.6654,1248923,46.9238,31.2232,20999864,5043833,4.1635,4985263,10344,0.9884,0.0021,0.2075%,0.4926,438491,42.3909,20.8807
int,int_19_trace,184.28955841064453,Pass,740.0771129131317,40000052,7945036,5.0346,5852871,30473,0.7367,0.0038,0.5207%,0.7618,1320642,43.3381,33.0160,20000052,3758188,5.3217,2929049,11978,0.7794,0.0032,0.4089%,0.5989,562799,46.9861,28.1399
int,int_1_trace,92.84952068328857,Pass,526.1955773830414,30000052,18172513,1.6508,5301134,315392,0.2917,0.0174,5.9495%,10.5130,14199120,45.0205,473.3032,15000052,8628413,1.7384,2642836,155754,0.3063,0.0181,5.8934%,10.3836,6674038,42.8499,444.9343
int,int_20_trace,187.00185585021973,Pass,906.8087902069092,60000051,16801964,3.5710,9561405,143010,0.5691,0.0085,1.4957%,2.3835,4738077,33.1311,78.9679,30000051,6905026,4.3447,4877083,68137,0.7063,0.0099,1.3971%,2.2712,1954066,28.6785,65.1354
int,int_21_trace,91.63193035125732,Pass,662.3251020908356,40000052,45151432,0.8859,9059172,933054,0.2006,0.0207,10.2996%,23.3263,40244252,43.1318,1006.1050,20000052,22203708,0.9008,4504449,477878,0.2029,0.0215,10.6090%,23.8938,19715644,41.2566,985.7796
int,int_22_trace,96.68442058563232,Pass,766.957676410675,40000052,21459837,1.8639,6671960,171310,0.3109,0.0080,2.5676%,4.2827,13915773,81.2315,347.8939,20000052,10397557,1.9235,3314359,81618,0.3188,0.0078,2.4626%,4.0809,6649061,81.4656,332.4522
int,int_23_trace,182.35865116119385,Pass,713.8351762294769,40000052,18358232,2.1789,5329093,132131,0.2903,0.0072,2.4794%,3.3033,6064536,45.8979,151.6132,20000052,8515238,2.3487,2669216,63508,0.3135,0.0075,2.3793%,3.1754,2557009,40.2628,127.8501
