Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_0_trace,64.73471260070801,Pass,262.25904536247253,30000052,6805781,4.4080,1619852,96754,0.2380,0.0142,5.9730%,3.2251,3029994,31.3165,100.9996,15000052,3428652,4.3749,807780,49655,0.2356,0.0145,6.1471%,3.3103,1552390,31.2635,103.4923
fp,fp_10_trace,270.7881956100464,Pass,547.321713924408,40000016,6832194,5.8546,3492402,79555,0.5112,0.0116,2.2779%,1.9889,1764767,22.1830,44.1192,20000016,3352973,5.9649,1748758,37881,0.5216,0.0113,2.1662%,1.8940,843555,22.2686,42.1777
fp,fp_11_trace,297.7953281402588,Pass,573.9827225208282,40000016,7554261,5.2950,3526510,24201,0.4668,0.0032,0.6863%,0.6050,533931,22.0624,13.3483,20000016,3646376,5.4849,1776440,11651,0.4872,0.0032,0.6559%,0.5825,251035,21.5462,12.5517
fp,fp_12_trace,48.495734214782715,Pass,456.3496057987213,40000016,8055017,4.9659,4420257,46879,0.5488,0.0058,1.0605%,1.1720,2919716,62.2820,72.9929,20000016,3901944,5.1257,2222665,20473,0.5696,0.0052,0.9211%,1.0236,1288450,62.9341,64.4224
fp,fp_13_trace,84.63656806945801,Pass,388.7961664199829,40000016,15053120,2.6573,6454282,497265,0.4288,0.0330,7.7044%,12.4316,10529148,21.1741,263.2286,20000016,7367846,2.7145,3233671,247917,0.4389,0.0336,7.6667%,12.3958,5161262,20.8185,258.0629
fp,fp_1_trace,42.69381523132324,Pass,250.5676028728485,30000052,30422410,0.9861,5950800,466988,0.1956,0.0154,7.8475%,15.5662,26720018,57.2178,890.6657,15000052,15221422,0.9855,2965791,234475,0.1948,0.0154,7.9060%,15.6316,13380049,57.0639,892.0002
fp,fp_2_trace,113.98153591156006,Pass,356.300829410553,30000052,6207186,4.8331,2471756,76472,0.3982,0.0123,3.0938%,2.5491,2688687,35.1591,89.6227,15000052,3060958,4.9004,1232306,38871,0.4026,0.0127,3.1543%,2.5914,1348430,34.6899,89.8950
fp,fp_3_trace,223.02585411071777,Pass,417.3538484573364,30000052,12710912,2.3602,1539997,58611,0.1212,0.0046,3.8059%,1.9537,6575842,112.1947,219.1944,15000052,6335338,2.3677,770204,29645,0.1216,0.0047,3.8490%,1.9763,3304943,111.4840,220.3288
fp,fp_4_trace,106.30326175689697,Pass,362.68362379074097,30000052,6533222,4.5919,2573337,17178,0.3939,0.0026,0.6675%,0.5726,1003982,58.4458,33.4660,15000052,2606539,5.7548,1285217,6631,0.4931,0.0025,0.5159%,0.4421,282487,42.6010,18.8324
fp,fp_5_trace,332.9483413696289,Pass,590.0792682170868,40000016,7570980,5.2833,740391,37480,0.0978,0.0050,5.0622%,0.9370,1286161,34.3159,32.1540,20000016,3748646,5.3353,370890,18567,0.0989,0.0050,5.0061%,0.9283,640086,34.4744,32.0043
fp,fp_6_trace,63.58891201019287,Pass,412.9713373184204,40000016,5779677,6.9208,7034423,38259,1.2171,0.0066,0.5439%,0.9565,1437025,37.5604,35.9256,20000016,2805532,7.1288,3515104,17828,1.2529,0.0064,0.5072%,0.8914,673202,37.7609,33.6601
fp,fp_7_trace,159.0718936920166,Pass,509.12697649002075,40000016,7762588,5.1529,4716883,41113,0.6076,0.0053,0.8716%,1.0278,1807927,43.9746,45.1982,20000016,3650488,5.4787,2394520,17148,0.6559,0.0047,0.7161%,0.8574,756840,44.1358,37.8420
fp,fp_8_trace,211.10272789001465,Pass,500.0693359375,40000016,12926871,3.0943,2322129,298964,0.1796,0.0231,12.8746%,7.4741,6868887,22.9756,171.7221,20000016,7182773,2.7844,1347173,210832,0.1876,0.0294,15.6500%,10.5416,4782726,22.6850,239.1361
fp,fp_9_trace,143.53112411499023,Pass,508.03702783584595,40000016,16283228,2.4565,5012816,168690,0.3079,0.0104,3.3652%,4.2172,11455127,67.9064,286.3781,20000016,7739533,2.5841,2500178,89204,0.3230,0.0115,3.5679%,4.4602,5408058,60.6257,270.4027
