Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
infra,infra_0_trace,94.09143447875977,Pass,409.8882212638855,40000016,8832258,4.5289,5140781,50317,0.5820,0.0057,0.9788%,1.2579,1462238,29.0605,36.5559,20000016,4391971,4.5538,2582400,25873,0.5880,0.0059,1.0019%,1.2936,775158,29.9601,38.7579
infra,infra_10_trace,117.67702960968018,Pass,464.87294006347656,50000052,18313030,2.7303,6548159,262321,0.3576,0.0143,4.0060%,5.2464,13031537,49.6778,260.6305,25000052,6284288,3.9782,3150015,116095,0.5013,0.0185,3.6855%,4.6438,4030081,34.7136,161.2029
infra,infra_11_trace,209.36411476135254,Pass,495.6392822265625,50000052,18245065,2.7405,7754708,50040,0.4250,0.0027,0.6453%,1.0008,3757396,75.0878,75.1478,25000052,9187811,2.7210,3881908,23744,0.4225,0.0026,0.6117%,0.9498,2145202,90.3471,85.8079
infra,infra_12_trace,207.57365608215332,Pass,486.0375943183899,50000052,17440485,2.8669,7862103,49313,0.4508,0.0028,0.6272%,0.9863,3318774,67.3002,66.3754,25000052,8306454,3.0097,3927069,23034,0.4728,0.0028,0.5865%,0.9214,1633731,70.9269,65.3491
infra,infra_13_trace,139.63556957244873,Pass,452.9668333530426,50000052,20377060,2.4537,6532412,204788,0.3206,0.0100,3.1350%,4.0958,13574285,66.2846,271.4854,25000052,9611905,2.6009,3378036,83078,0.3514,0.0086,2.4594%,3.3231,5102695,61.4205,204.1074
infra,infra_14_trace,118.4549331665039,Pass,464.8506088256836,50000052,17831282,2.8041,6536492,264610,0.3666,0.0148,4.0482%,5.2922,12721431,48.0762,254.4284,25000052,6264663,3.9906,3156210,115313,0.5038,0.0184,3.6535%,4.6125,4015490,34.8225,160.6193
infra,infra_15_trace,101.22027969360352,Pass,447.23550152778625,50000052,34256407,1.4596,6957507,416202,0.2031,0.0121,5.9821%,8.3240,29726503,71.4233,594.5294,25000052,6311977,3.9607,3466846,141848,0.5492,0.0225,4.0916%,5.6739,4031294,28.4198,161.2514
infra,infra_1_trace,175.13615703582764,Pass,383.79523730278015,37799521,8178552,4.6218,4337669,13056,0.5304,0.0016,0.3010%,0.3454,578029,44.2731,15.2920,19799521,3726419,5.3133,2263258,3712,0.6074,0.0010,0.1640%,0.1875,123582,33.2926,6.2417
infra,infra_2_trace,221.61112022399902,Pass,765.2328724861145,47546686,10567547,4.4993,5818731,19304,0.5506,0.0018,0.3318%,0.4060,645610,33.4444,13.5784,24546686,4282374,5.7320,2997214,5470,0.6999,0.0013,0.1825%,0.2228,106504,19.4706,4.3388
infra,infra_3_trace,83.57435989379883,Pass,405.70614218711853,40000016,8052959,4.9671,5433078,41690,0.6747,0.0052,0.7673%,1.0422,1076192,25.8142,26.9048,20000016,3995402,5.0058,2737308,19276,0.6851,0.0048,0.7042%,0.9638,510367,26.4768,25.5183
infra,infra_4_trace,84.87091732025146,Pass,450.8338315486908,40000016,23891055,1.6743,5988066,97467,0.2506,0.0041,1.6277%,2.4367,12182728,124.9934,304.5681,20000016,11953710,1.6731,2971304,49167,0.2486,0.0041,1.6547%,2.4583,6117869,124.4304,305.8932
infra,infra_5_trace,58.871103286743164,Pass,481.0376195907593,40000016,34491239,1.1597,7268207,88128,0.2107,0.0026,1.2125%,2.2032,26304497,298.4806,657.6122,20000016,22160646,0.9025,3539219,62791,0.1597,0.0028,1.7741%,3.1395,18320391,291.7678,916.0188
infra,infra_6_trace,168.09687328338623,Pass,658.992192029953,64718349,15312813,4.2264,9187928,78005,0.6000,0.0051,0.8490%,1.2053,3064131,39.2812,47.3456,32718349,7695530,4.2516,5004718,37770,0.6503,0.0049,0.7547%,1.1544,1745335,46.2096,53.3442
infra,infra_7_trace,65.31903553009033,Pass,475.25269770622253,40000016,21719948,1.8416,6716982,57821,0.3093,0.0027,0.8608%,1.4455,7959226,137.6529,198.9806,20000016,11150901,1.7936,3345402,16132,0.3000,0.0014,0.4822%,0.8066,3325671,206.1537,166.2834
infra,infra_8_trace,54.09443473815918,Pass,499.39729356765747,40000016,24566111,1.6283,7460282,50147,0.3037,0.0020,0.6722%,1.2537,15871678,316.5030,396.7918,20000016,12248865,1.6328,3730712,24863,0.3046,0.0020,0.6664%,1.2431,7894213,317.5085,394.7103
infra,infra_9_trace,141.69822597503662,Pass,480.67385935783386,50000052,29063814,1.7204,7203244,226672,0.2478,0.0078,3.1468%,4.5334,19441942,85.7713,388.8384,25000052,17143603,1.4583,3405201,170942,0.1986,0.0100,5.0200%,6.8377,14522150,84.9537,580.8848
