Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_0_trace,137.11144542694092,Pass,638.0850684642792,40000041,14622020,2.7356,6223265,199876,0.4256,0.0137,3.2118%,4.9969,9921926,49.6404,248.0479,20000041,6481366,3.0858,3076555,97277,0.4747,0.0150,3.1619%,4.8638,4247301,43.6619,212.3646
int,int_10_trace,204.85591316223145,Pass,906.7121880054474,60000052,9654905,6.2145,7032592,31434,0.7284,0.0033,0.4470%,0.5239,861301,27.4003,14.3550,30000052,4461518,6.7242,3499163,14787,0.7843,0.0033,0.4226%,0.4929,342599,23.1689,11.4199
int,int_11_trace,203.19092559814453,Pass,882.505322933197,60000052,16328985,3.6745,4130584,243316,0.2530,0.0149,5.8906%,4.0553,8895007,36.5574,148.2500,30000052,8156978,3.6778,2064453,122629,0.2531,0.0150,5.9400%,4.0876,4475635,36.4974,149.1876
int,int_12_trace,204.59925079345703,Pass,984.0360147953033,59999603,18412178,3.2587,6357220,25356,0.3453,0.0014,0.3989%,0.4226,977510,38.5514,16.2919,30999603,4928296,6.2901,4522132,24198,0.9176,0.0049,0.5351%,0.7806,897780,37.1014,28.9610
int,int_13_trace,32.30572509765625,Pass,635.0198786258698,40000052,6204875,6.4466,4243961,35291,0.6840,0.0057,0.8316%,0.8823,1031559,29.2301,25.7889,20000052,3038219,6.5828,2111572,16391,0.6950,0.0054,0.7762%,0.8195,488300,29.7907,24.4149
int,int_14_trace,177.29002475738525,Pass,695.4212651252747,39999640,6977336,5.7328,7635435,15194,1.0943,0.0022,0.1990%,0.3799,387751,25.5200,9.6939,20999640,3391960,6.1910,3974167,6467,1.1716,0.0019,0.1627%,0.3080,148803,23.0096,7.0860
int,int_15_trace,98.1560001373291,Pass,994.5523083209991,70000157,18490120,3.7858,9192864,32915,0.4972,0.0018,0.3580%,0.4702,1837048,55.8119,26.2435,35000157,9293628,3.7660,4669511,31172,0.5024,0.0034,0.6676%,0.8906,1465408,47.0104,41.8686
int,int_16_trace,128.2670030593872,Pass,719.0259230136871,40000031,17264741,2.3169,6733574,225378,0.3900,0.0131,3.3471%,5.6344,5442662,24.1490,136.0664,20000031,7190277,2.7815,3364149,113745,0.4679,0.0158,3.3811%,5.6872,2610811,22.9532,130.5403
int,int_17_trace,128.60758018493652,Pass,718.3087358474731,39999987,15457658,2.5877,6659971,190252,0.4309,0.0123,2.8566%,4.7563,4614859,24.2566,115.3715,20999987,6054907,3.4683,3432362,84548,0.5669,0.0140,2.4633%,4.0261,1963185,23.2198,93.4851
int,int_18_trace,108.31880569458008,Pass,770.1469421386719,39999864,10742418,3.7235,9457814,30656,0.8804,0.0029,0.3241%,0.7664,1408784,45.9546,35.2197,20999864,5112282,4.1077,4985263,12333,0.9752,0.0024,0.2474%,0.5873,525663,42.6225,25.0317
